Dataset,genus_species,trait,Original,Changed,notes
WrightOverton,Nertera dichondrifolia,sla,2370.7768,NA,
Reich,Ammophila arenaria,sla,6.9,NA,
Reich,Calophyllum inophyllum,sla,6.7,NA,
Reich,Chrysobalanus icaco,sla,8.4,NA,
Reich,Paragenipa wrightii,sla,4.7,NA,
Reich,Soulamea terminalioides,sla,5.6,NA,
RoyerPeppe,Rondeletia portoricensis,sla,8.852691,NA,
MolesHeight,Romulea stellata,maxHeight,0.001,NA,
GlobLfSizeTrimmed(NESCentJul11),Acaena anserinifolia,leafSize,2.06,0.206,
GlobLfSizeTrimmed(NESCentJul11),Acaena anserinifolia,leafletSize,2.06,0.206,
GlobLfSizeTrimmed(NESCentJul11),Carex capitata,leafSize,89,NA,
GlobLfSizeTrimmed(NESCentJul11),Carex capitata,leafletSize,89,NA,
MolesHeight,Oxytropis nigrescens,maxHeight,0,NA,
Seeds,Aneilema setiferum,seed_mass,0,NA,
MolesHeight,Potentilla hyparctica,maxHeight,0,NA,
Reich,Phragmites communis,leafN,0.18,NA,
Reich,Phragmites communis,leafN,0.2,NA,
Reich,Fagus sylvatica,leafN,0.22,NA,
Reich,Sagittaria lancifolia,leafN,0.24,NA,
Reich,Phragmites communis,leafN,0.35,NA,
Reich,Lyonia lucida,leafN,0.08,NA,
Reich,Zenobia pulverulenta,leafN,0.1,NA,
Reich,Stryphnodendron pulcherrimum,leafN,0.06,NA,
Reich,Quercus ilex,leafN,0.33,NA,
Reich,Quercus cerris,leafN,0.29,NA,
Reich,Picea mariana,leafN,0.31,NA,
Reich,Picea mariana,leafN,0.27,NA,
Reich,Pinus sylvestris,leafN,0.28,NA,
Reich,Pinus pinea,leafN,0.25,NA,
WrightGlopnet,Salix alaxensis,maxHeight,0,NA,
WrightGlopnet,Salix reticulata,maxHeight,0,NA,
MolesHeight,Sisyrinchium patagonicum,maxHeight,0.0012,NA,
MolesHeight,Sisyrinchium scoparium,maxHeight,0.0018,NA,
MolesHeight,Sisyrinchium radicatum,maxHeight,0.004,NA,
MolesHeight,Anthoxanthum alpinum,maxHeight,0.0088,NA,
MolesHeight,Romulea sanguinalis,maxHeight,0.008,NA,
MolesHeight,Romulea syringodeoflora,maxHeight,0.007,NA,
WrightBu,Artemisia gmelinii,seed_mass,0,NA,
LEDA,Berula erecta,sla,552,NA,
LEDA,Callitriche stagnalis,sla,610,NA,
LEDA,Carex vaginata,sla,39.60000038,NA,
LEDA,Centaurium littorale,sla,45.06699147,NA,
LEDA,Festuca rubra,sla,493.1818182,NA,
LEDA,Gymnocarpium dryopteris,sla,1324.939253,NA,
LEDA,Gymnocarpium dryopteris,sla,1347.420033,NA,
LEDA,Juncus articulatus,sla,346,NA,
LEDA,Juncus articulatus,sla,438,NA,
LEDA,Malva pusilla,sla,32,NA,
LEDA,Sagittaria sagittifolia,sla,1028.455285,NA,
LEDA,Sarracenia purpurea,sla,410,NA,
LEDA,Solanum luteum,sla,513.803049,NA,
LEDA,Solanum luteum,sla,534.2465753,NA,
LEDA,Spergula arvensis,sla,457,NA,
LEDA,Thymus pulegioides,sla,23.65591398,NA,
LEDA,Picea abies,sla,142.6666667,14.26666667,
LEDA,Picea abies,sla,172,17.2,
LEDA,Picea abies,sla,201.2345679,20.12345679,
LEDA,Picea glauca,sla,267,26.7,
LEDA,Picea mariana,sla,190,19,
kewSeed,Cassia biflora,seed_mass,0.000034,NA,units prob
kewSeed,Orchis laxiflora,seed_mass,1040.9,NA,crazy orchid number
kewSeed,Platyzoma microphyllum,seed_mass,0.0016,NA,ferns
kewSeed,Gymnocarpium robertianum,seed_mass,0.0032,NA,ferns
kewSeed,Ceratopteris thalictroides,seed_mass,0.0038023,NA,ferns
kewSeed,Osmunda regalis,seed_mass,0.074,NA,ferns
kewSeed,Marsilea berhautii,seed_mass,7.9432,NA,ferns
kewSeed,Marsilea coromandelina,seed_mass,1.6424,NA,ferns
kewSeed,Mentha longifolia,seed_mass,0,NA,
kewSeed,Pluchea odorata,seed_mass,0,NA,
kewSeed,Psychotria vellosiana,seed_mass,0,NA,
kewSeed,Asplenium ceterach,seed_mass,189,NA,Polypodiales
kewSeed,Asplenium marinum,seed_mass,93,NA,Polypodiales
kewSeed,Asplenium ruta-muraria,seed_mass,121.3488555,NA,Polypodiales
kewSeed,Asplenium scolopendrium,seed_mass,145.0704691,NA,Polypodiales
kewSeed,Asplenium septentrionale,seed_mass,144.2,NA,Polypodiales
kewSeed,Asplenium trichomanes,seed_mass,109,NA,Polypodiales
kewSeed,Asplenium trichomanes-ramosum,seed_mass,198.937176,NA,Polypodiales
kewSeed,Athyrium distentifolium,seed_mass,289.517357,NA,Polypodiales
kewSeed,Athyrium filix-femina,seed_mass,121,NA,Polypodiales
kewSeed,Blechnum spicant,seed_mass,109,NA,Polypodiales
kewSeed,Cryptogramma crispa,seed_mass,203.8160936,NA,Polypodiales
kewSeed,Cystopteris fragilis,seed_mass,214,NA,Polypodiales
kewSeed,Dryopteris affinis,seed_mass,249.2498746,NA,Polypodiales
kewSeed,Dryopteris carthusiana,seed_mass,248.3497534,NA,Polypodiales
kewSeed,Dryopteris dilatata,seed_mass,208.2715266,NA,Polypodiales
kewSeed,Dryopteris expansa,seed_mass,205.6079279,NA,Polypodiales
kewSeed,Dryopteris filix-mas,seed_mass,242,NA,Polypodiales
kewSeed,Dryopteris remota,seed_mass,310.3,NA,Polypodiales
kewSeed,Gymnocarpium dryopteris,seed_mass,507.5488865,NA,Polypodiales
kewSeed,Gymnocarpium robertianum,seed_mass,238.3647809,NA,Polypodiales
kewSeed,Matteuccia struthiopteris,seed_mass,277.9122264,NA,Polypodiales
kewSeed,Oreopteris limbosperma,seed_mass,134,NA,Polypodiales
kewSeed,Phegopteris connectilis,seed_mass,384.7224454,NA,Polypodiales
kewSeed,Polypodium interjectum,seed_mass,151.5918863,NA,Polypodiales
kewSeed,Polypodium vulgare,seed_mass,122.3928102,NA,Polypodiales
kewSeed,Polystichum aculeatum,seed_mass,138.7112383,NA,Polypodiales
kewSeed,Polystichum lonchitis,seed_mass,78,NA,Polypodiales
kewSeed,Polystichum setiferum,seed_mass,192.6499416,NA,Polypodiales
kewSeed,Pteridium aquilinum,seed_mass,153.8904937,NA,Polypodiales
kewSeed,Thelypteris palustris,seed_mass,304.2416802,NA,Polypodiales
kewSeed,Botrychium_lunaria,seed_mass,212,NA,Ophioglossales
kewSeed,Lunaria_annua,seed_mass,378.7298509,NA,Ophioglossales
kewSeed,Lunaria_rediviva,seed_mass,429.1493982,NA,Ophioglossales
kewSeed,Ophioglossum_vulgatum,seed_mass,247.3539973,NA,Ophioglossales
kewSeed,Diphasiastrum_alpinum,seed_mass,106.2066083,NA,Lycopodiales
kewSeed,Diphasiastrum_complanatum,seed_mass,65.38348415,NA,Lycopodiales
kewSeed,Huperzia_selago,seed_mass,140.4,NA,Lycopodiales
kewSeed,Lycopodiella_inundata,seed_mass,581.2,NA,Lycopodiales
kewSeed,Lycopodium_annotinum,seed_mass,248.2,NA,Lycopodiales
kewSeed,Lycopodium_clavatum,seed_mass,215.9,NA,Lycopodiales
kewSeed,Dicranopteris_linearis,seed_mass,104.0629257,NA,Gleicheniales
kewSeed,Equisetum_arvense,seed_mass,104.8655655,NA,Equisetales
kewSeed,Equisetum_fluviatile,seed_mass,93.5,NA,Equisetales
kewSeed,Equisetum_hyemale,seed_mass,29.7,NA,Equisetales
kewSeed,Equisetum_palustre,seed_mass,80,NA,Equisetales
kewSeed,Equisetum_sylvaticum,seed_mass,245.2001019,NA,Equisetales
kewSeed,Equisetum_telmateia,seed_mass,162.6,NA,Equisetales
kewSeed,Equisetum_variegatum,seed_mass,63.29113924,NA,Equisetales
kewSeed,Cibotium_glaucum,seed_mass,166.5,NA,tree fern
myco,Rumex acetosella,ECM,0.083333333,NA,
