originalName	newName
Amyema pendulum	Amyema pendula
Anagallis minimus	Anagallis minima
Anaphalis marinae	Anaphalis mariae
Anaphalis xylorrhiza	Anaphalis xylorhiza
Anaphalus lactea	Anaphalis lactea
Ancylobotrys petersiana	Ancylobothrys petersiana
Andira indet	Andira inermis
Andropogon ischeamum	Andropogon ischaemum
Andropogon virginianus	Andropogon virginicus
Androsace hausmanni	Androsace hausmannii
Angelica hendersoni	Angelica hendersonii
Angelica laurentia	Angelica laurentiana
Aniba indet	Aniba intermedia
Annona coriaceae	Annona coriacea
Annonica muricata	Annona muricata
Anogeissus phillyreaefolia	Anogeissus phillyreifolia
Anomospermum cloranthum	Anomospermum chloranthum
Anthemis tinctora	Anthemis tinctoria
Anthocleista indet	Anthocleista inermis
Anthodon panamense	Anthodon panamensis
Anthonotha gracilliflora	Anthonotha graciliflora
Anthoxanthum puellii	Anthoxanthum puelii
Anthurium rotundistigmum	Anthurium rotundistigmatum
Antidesma cariaceum	Antidesma coriaceum
Antidesma japonica	Antidesma japonicum
Antirrhoea trichantha	Antirhea trichantha
Anubia barteri	Anubias barteri
Anvillea garcini	Anvillea garcinii
Apeiba indet	Apeiba intermedia
Apeiba membranaceae	Apeiba membranacea
Aphanante monoica	Aphananthe monoica
Aphananthe philippensis	Aphananthe philippinensis
Aphloia theaeformis	Aphloia theiformis
Aporusa aurea	Aporosa aurea
Aporusa bracteosa	Aporosa bracteosa
Aporusa chinensis	Aporosa chinensis
Aporusa dioca	Aporosa dioica
Aporusa elmeri	Aporosa elmeri
Aporusa falcifera	Aporosa falcifera
Aporusa frutescens	Aporosa frutescens
Aporusa globifera	Aporosa globifera
Aporusa lagenocarpa	Aporosa lagenocarpa
Aporusa maingayi	Aporosa maingayi
Aporusa microcalyx	Aporosa microcalyx
Aporusa microsphaera	Aporosa microsphaera
Aporusa microstachya	Aporosa microstachya
Aporusa nigricans	Aporosa nigricans
Aporusa prainiana	Aporosa prainiana
Aporusa sphaeritophora	Aporosa sphaeritophora
Aporusa stellifera	Aporosa stellifera
Aporusa symplocoides	Aporosa symplocoides
Aporusa yunnanensis	Aporosa yunnanensis
Aquilegia caerula	Aquilegia coerulea
Aquilegia einseliana	Aquilegia einseleana
Araucaria indet	Araucaria intermedia
Archidendropsis xanthoxyla	Archidendropsis xanthoxylon
Arctium pubescens	Aracium pubescens
Arctostaphos alpina	Arctostaphylos alpina
Arctostaphos uva-ursi	Arctostaphylos uva-ursi
Ardisia densapunta	Ardisia densipunctata
Ardisia escallonoides	Ardisia escallonioides
Arenaria plantaginifolia	Antennaria plantaginifolia
Aristea eckloni	Aristea ecklonii
Aristolochia manchuriensis	Aristolochia manshuriensis
Arnebia benthami	Arnebia benthamii
Arrhenantherum elatius	Arrhenatherum elatius
Arrhenaterum elatius	Arrhenatherum elatius
Arrhenechthites mixtus	Arrhenechthites mixta
Artemisia desetorum	Artemisia desertorum
Artemisia herba-alma	Artemisia herba-alba
Artemisia meyerina	Artemisia meyeriana
Artemisia santolinaefolia	Artemisia santolinifolia
Arthropodium cirratum	Arthropodium cirrhatum
Artocarpus hypargyraea	Artocarpus hypargyreus
Artocarpus nitida	Artocarpus nitidus
Artocarpus rigida	Artocarpus rigidus
Artocarpus styracifolia	Artocarpus styracifolius
Arundinaria auricomus	Arundinaria auricoma
Arundinaria gramineus	Arundinaria graminea
Arundinaria variegatus	Arundinaria variegata
Asarum arifolia	Asarum arifolium
Ascarina polystachyaa	Ascarina polystachya
Asclepias ditasa	Asclepias dilatata
Asclepias virdaflora	Asclepias viridiflora
Asphodeline fistulosus	Asphodelus fistulosus
Asphodeline microcarpus	Asphodelus microcarpus
Asphodeline tenuifolius	Asphodelus tenuifolius
Aspidosperma cruenta	Aspidosperma cruentum
Aspidosperma indet	Aspidosperma snethlagei
Asplundia fendlerii	Asplundia fendleri
Astelia trinerva	Astelia trinervia
Aster bellidiastrus	Aster bellidiastrum
Aster dumosa	Aster dumosus
Aster michelii	Aster mitchellii
Aster novaeangliae	Aster novae-angliae
Aster novaeanglieae	Aster novae-angliae
Aster saxicastellii	Aster saxicastelli
Aster xblakei	Aster blakei
Aster xherveyi	Aster herveyi
Aster xlongulus	Aster longulus
Asteromyrtus symphiocarpus	Asteromyrtus symphyocarpa
Asteromyrtus symphocarpa	Asteromyrtus symphyocarpa
Astralus adsurgens	Astragalus adsurgens
Astronia atro-viridis	Astronia atroviridis
Astronidium confertifolium	Astronidium confertiflorum
Ateleia herberth	Ateleia herbert-smithii
Athrixia gerrardi	Athrixia gerrardii
Atriplex marieana	Atriplex marina
Aucuba emeiensis	Aucuba omeiensis
Austrobuxus swainiii	Austrobuxus swainii
Austromyrtus acmenoides	Austromyrtus acmenioides
Axyris lanata	Xyris lanata
Baccaurea seemanni	Baccaurea seemannii
Baccaurea stylmis	Baccaurea stylaris
Bactris rhapidacantha	Bactris rhaphidacantha
Baeckea le-ratii	Baeckea leratii
Baeckea priessiana	Baeckea preissiana
Baileya pleriradiata	Baileya pleniradiata
Ballota acetabullosa	Ballota acetabulosa
Bambusa oldhami	Bambusa oldhamii
Banisteropsis muricata	Banisteriopsis muricata
Banksia hookerana	Banksia hookeriana
Banksia spherocarpa	Banksia sphaerocarpa
Barteria nigritiana	Barteria nigritana
Batrachium buhgei	Batrachium bungei
Bauhinia championi	Bauhinia championii
Bauhinia forticata	Bauhinia forficata
Bauhinia galpini	Bauhinia galpinii
Beauprea spathulaefolia	Beauprea spathulifolia
Befaria glauca	Bejaria glauca
Befaria resinosa	Bejaria resinosa
Beilschmeidia taraire	Beilschmiedia tarairi
Beilschmiedia bancrofti	Beilschmiedia bancroftii
Berberis diapnana	Berberis diaphana
Berberis gagnepaini	Berberis gagnepainii
Berberis prunifolia	Berberis pinifolia
Berberis wilsonae	Berberis wilsoniae
Berchemiella berchemiaefolia	Berchemiella berchemiifolia
Berzelia alopecuroides	Berzelia alopecurioides
Beta saccharifera	Imperata saccharifera
Betula albo-sinensis	Betula albosinensis
Betula austro-sinensis	Betula austrosinensis
Betula peperifera	Betula papyrifera
Bidens eatoni	Bidens eatonii
Bischofia janavica	Bischofia javanica
Bistorta viviparum	Bistorta vivipara
Blechnum lenormandi	Blechnum lenormandii
Blecnum discolor	Blechnum discolor
Blepharis stuhlmanni	Blepharis stuhlmannii
Bocquillonia castaneaefolia	Bocquillonia castaneifolia
Boletus mirabilis	Coleus mirabilis
Bomaria acutifolia	Bomarea acutifolia
Bombax humilis	Bombax humile
Bombax indet	Bombax endecaphyllum
Bombax valetorii	Bombax valetonii
Borrago officinalis	Borago officinalis
Bougainvellia spectabilis	Bougainvillea spectabilis
Brachiaria subquadriparia	Brachiaria subquadripara
Brachychiton acerifolium	Brachychiton acerifolius
Brachychiton diversilobus	Brachychiton diversifolius
Brachychiton scerifolium	Brachychiton acerifolius
Brachycome ciliaris	Brachyscome ciliaris
Brachycome curvicarpa	Brachyscome curvicarpa
Brachyelectrum erectum	Brachyelytrum erectum
Brachyglottis perdiciodes	Brachyglottis perdicioides
Brachyglottis revolutus	Brachyglottis revoluta
Brachystegia speciformis	Brachystegia spiciformis
Braunsia maximillianii	Braunsia maximiliani
Bromus brizaeformis	Bromus briziformis
Brosimum guianensis	Brosimum guianense
Broussonetia greveanus	Broussonetia greveana
Bruguiera gymnorrhiza	Bruguiera gymnorhiza
Brunellia comocladiifolia	Brunellia comocladifolia
Buddleja speciocissima	Buddleja speciosissima
Buglossoides purpureo-caeruleum	Buglossoides purpurocaerulea
Buglossoides purpuro-caeruleum	Buglossoides purpurocaerulea
Bulbinella gibbsii	Bulbinella gibbii
Bunium pachypodium	Bunium pachypodum
Bupleurum chinensis	Bupleurum chinense
Burckella billii	Burckella hillii
Bursera indica	Bursera icicariba
Bursera simarouba	Bursera simaruba
Buxus macowani	Buxus macowanii
Byrsonima coccolobaefolia	Byrsonima coccolobifolia
Byttneria catalpaefolia	Byttneria catalpifolia
Byttneria pescapraefolia	Byttneria pescapraeifolia
Caesalpinia gilliesi	Caesalpinia gilliesii
Caiophora sylvestris	Caiophora silvestris
Cajophora lateritia	Caiophora lateritia
Calamintha chilense	Calamintha chinensis
Calamus pseudo-tenuis	Calamus pseudotenuis
Calandrinia polyanda	Calandrinia polyandra
Caldcluvia brassi	Caldcluvia brassii
Calea urticaefolia	Calea urticifolia
Calla palustre	Calla palustris
Callicarpa loureiri	Callicarpa loureiroi
Calligonum alashanicum	Calligonum alaschanicum
Calligonum mongolica	Calligonum mongolicum
Callitris neo-caledonica	Callitris neocaledonica
Calochortus leightlinii	Calochortus leichtlinii
Calodendrum capensis	Calodendrum capense
Calophyllum inophloium	Calophyllum inophyllum
Calophyllum neo-ebudicum	Calophyllum neoebudicum
Calophyllum neo-ebuicum	Calophyllum neoebudicum
Calopogonium coeruleum	Calopogonium caeruleum
Calothamnus lomatophyllus	Calothamnus homalophyllus
Calothamnus sanguinius	Calothamnus sanguineus
Calycolpus warszewiczianus	Calycolpus warscewiczianus
Calyptranthes clusiaefolia	Calyptranthes clusiifolia
Calystegia sylvatica	Calystegia silvatica
Calytrix flavescebs	Calytrix flavescens
Camellia eticulata	Camellia reticulata
Camissonia lucustris	Camissonia lacustris
Campomanesia guazumaefolia	Campomanesia guazumifolia
Campyneman viridiflora	Campynemanthe viridiflora
Canarium pseudo-decumanum	Canarium pseudodecumanum
Canthium kilifiensis	Canthium kilifiense
Capparis guaguensis	Capparis guaguaensis
Capsella bursapastoris	Capsella bursa-pastoris
Carapa indet	Carapa indica
Cardamine dirphylla	Cardamine diphylla
Cardamine xmaxima	Cardamine maxima
Cardiocrinum corindum	Cardiocrinum cordatum
Cardopetus serratus	Carpodetus serratus
Carex coriacca	Carex coriacea
Carex leptoneruia	Carex leptonervia
Carex luzulaefolia	Carex luzulifolia
Carex ornithopodoides	Carex ornithopodioides
Carex runssorensis	Carex runssoroensis
Carex willdenovii	Carex willdenowii
Carex xmainensis	Carex mainensis
Cariniana indet	Cariniana integrifolia
Carissa carundu	Carissa carandas
Carissa spinosum	Carissa spinarum
Carissa tetremera	Carissa tetramera
Carronia multisepala	Carronia multisepalea
Carthamnus tinctorius	Carthamus tinctorius
Carya myristicaeformis	Carya myristiciformis
Caryopteris nepetaefolia	Caryopteris nepetifolia
Casearia grewiaefolia	Casearia grewiifolia
Casearia mariquilensis	Casearia mariquitensis
Cassia timorensis	Cassia timoriensis
Cassine eucleaeformis	Cassine eucleiformis
Cassinia leavis	Cassinia laevis
Cassinia quinquefolia	Cassinia quinquefaria
Cassipourea congoensis	Cassipourea congensis
Cassipourea ruwenzorensis	Cassipourea ruwensorensis
Cassipourea ruwenzoriensis	Cassipourea ruwensorensis
Castanea sequinii	Castanea seguinii
Castanopsis farmosana	Castanopsis formosana
Castanopsis stellato-spina	Castanopsis stello-spina
Castanospermum australi	Castanospermum australe
Castiloa ulei	Castilla ulei
Casuarina rapuana	Casuarina papuana
Catananche coerulea	Catananche caerulea
Caucalis platycarpon	Caucalis platycarpos
Cavacoa quintansii	Cavacoa quintasii
Cavanillesia hilogeiton	Cavanillesia hylogeiton
Cayaponia opthalmica	Cayaponia ophthalmica
Ceanothus gregii	Ceanothus greggii
Ceanothus herbacesous	Ceanothus herbaceus
Ceanothus lemmoni	Ceanothus lemmonii
Cecropia glaziovi	Cecropia glaziovii
Cedrelinga catenaeformis	Cedrelinga cateniformis
Ceiba trichistandra	Ceiba trischistandra
Celastrus hypoleuca	Celastrus hypoleucus
Celtis adolfi-fridericii	Celtis adolfi-friderici
Centaurea gentilis	Centaurea gentilii
Centaurea sadlerana	Centaurea sadleriana
Centaurea sinaicia	Centaurea sinaica
Centaurea sosnovskyi	Centaurea sosnowskyi
Centaurea subciliata	Centaurea subciliaris
Centipeda thespedioides	Centipeda thespidioides
Cephaelis bicolor	Uragoga bicoloriceps
Cephaelis discolor	Psychotria guapilensis
Cephaelis elata	Psychotria elata
Cephaelis ipecacuanha	Carapichea ipecacuanha
Cephaelis peduncularis	Psychotria peduncularis
Cephaelis tomentosa	Psychotria poeppigiana
Cephalanoplos sagetum	Cephalonoplos segetum
Cephalanoplos segetum	Cephalonoplos segetum
Cephalaralia cephalobotrus	Cephalaralia cephalobotrys
Cephalaria cephalobotrys	Cephalaralia cephalobotrys
Cephalotaxus fortuni	Cephalotaxus fortunei
Cephalotaxus harringtonii	Cephalotaxus harringtonia
Ceratoides latens	Ceratoides lenensis
Cespedezia spathulata	Cespedesia spathulata
Chaenactis artemisiaefolia	Chaenactis artemisiifolia
Chaenactis fremonti	Chaenactis fremontii
Chaenarrhinum minus	Chaenorhinum minus
Chaenorrhinum minus	Chaenorhinum minus
Chaerophyllum tainturier	Chaerophyllum tainturieri
Chaetocarpus schomburgkia	Chaetocarpus schomburgkianus
Chamaecyparis indet	Chamaecyparis andelyensis
Cheilantes buchtienii	Cheilanthes buchtienii
Cheirodendron tryginum	Cheirodendron trigynum
Chenopodium ambrosoides	Chenopodium ambrosioides
Chionanthus dominguensis	Chionanthus domingensis
Chionanthus holdrigii	Chionanthus holdridgei
Chionanthus pegleriae	Chionanthus peglerae
Chlorogall pomeridianum	Chlorogalum pomeridianum
Chlorophytum ananiensis	Chlorophytum amaniense
Chorizandra brevicornu	Chorizanthe brevicornu
Chorizandra fimbriata	Chorizanthe fimbriata
Chromolaena ivaefolia	Chromolaena ivifolia
Chrysanthemum cinerariaefolium	Chrysanthemum cinerariifolium
Chrysobalanus indet	Chrysobalanus interior
Chrysophyllum indet	Chrysophyllum intermedium
Ciclospermum leptophyllum	Cyclospermum leptophyllum
Cienfuegosia digatata	Cienfuegosia digitata
Cificifuga foetida	Cimicifuga foetida
Cinchon pubescens	Cinchona pubescens
Cinnamomum calcarea	Cinnamomum calcareum
Cinnamomum insularimontana	Cinnamomum insularimontanum
Cinnamomum koordersi	Cinnamomum koordersii
Cinnamomum oliverii	Cinnamomum oliveri
Cinodendron patagua	Crinodendron patagua
Cirsium muticium	Cirsium muticum
Cissus araliodes	Cissus aralioides
Cissus ruginosicarpa	Cissus ruginosicarpus
Cistus simphytifolius	Cistus symphytifolius
Citrillus lanatus	Citrullus lanatus
Citriobatus pauciflora	Citriobatus pauciflorus
Citronella sarmentosum	Citronella sarmentosa
Citrus aurantifolia	Citrus aurantiifolia
Citrus paradisii	Citrus paradisi
Clarkia lindleyana	Maxillaria lindleyana
Cleistocactus baumanii	Cleistocactus baumannii
Cleome steveniana	Cleome stevensiana
Cleomella palmerana	Cleomella palmeriana
Clermontia montes-loa	Clermontia montis-loa
Clerodendron cyrtophullum	Clerodendrum cyrtophyllum
Clerodendron infortunatum	Clerodendrum infortunatum
Cleyera theaeoides	Cleyera theoides
Clinostemon maguireanum	Clinostemon maguireanus
Clivia nobile	Clivia nobilis
Clowesia warscewiczii	Clowesia warczewitzii
Clusia haverioides	Clusia havetioides
Clusia spathulaefolia	Clusia spathulifolia
Cneorum tricoccom	Cneorum tricoccon
Coccinia quinqeloba	Coccinia quinqueloba
Coccoloba liebmanii	Coccoloba liebmannii
Coccoloba manzanillensis	Coccoloba manzinellensis
Cochlearia groenlandi	Cochlearia groenlandica
Cochlospermum planchoni	Cochlospermum planchonii
Cochlospermum tinctorum	Cochlospermum tinctorium
Codon royeni	Codon royenii
Coelocaryon preussi	Coelocaryon preussii
Coelodepas hainanensis	Coelodepas hainanense
Colliguaya integerrima	Colliguaja integerrima
Colliguaya odorifera	Colliguaja odorifera
Colliguaya salicifolia	Colliguaja salicifolia
Colophosphermum mopane	Colophospermum mopane
Combretocarpus rotuodatus	Combretocarpus rotundatus
Combretum schumanii	Combretum schumannii
Comesperma volubilis	Comesperma volubile
Commelina nigritiana	Commelina nigritana
Conium ungulatum	Calycogonium angulatum
Convallaria verticilla	Convallaria verticillata
Conyza ivaefolia	Conyza ivifolia
Conyza ramosissimum	Conyza ramosissima
Coprosma alpina	Coprosma linariifolia
Coprosma billardieri	Coprosma billardierei
Coprosma cheesemani	Coprosma cheesemanii
Coprosma foetidisima	Coprosma foetidissima
Corallorrhiza maculata	Corallorhiza maculata
Corallorrhiza odontorhiza	Corallorhiza odontorhiza
Corallorrhiza striata	Corallorhiza striata
Corallorrhiza trifida	Corallorhiza trifida
Corallorrhiza wisteriana	Corallorhiza wisteriana
Corchorus pseudoolitorius	Corchorus pseudo-olitorius
Cordia coloccoca	Cordia collococca
Cordia elaeangnoides	Cordia elaeagnoides
Cordia japonica	Crawfurdia japonica
Corema conradi	Corema conradii
Coris monspelienesis	Coris monspeliensis
Cornus contraversa	Cornus controversa
Cornus drummondi	Cornus drummondii
Cornus mombeigii	Cornus monbeigii
Cornus suecicum	Cornus suecica
Corokia buddleoides	Corokia buddlejoides
Coronidium boormanni	Coronidium boormanii
Coronilla valentiana	Coronilla valentina
Corylus americanus	Corylus americana
Corylus heterophyll	Corylus heterophylla
Corymbia confertifolia	Corymbia confertiflora
Cosmos seemanni	Cosmos seemannii
Cossinia australina	Cossinia australiana
Cotoneaster acuminata	Cotoneaster acuminatus
Cotoneaster acutifolia	Cotoneaster acutifolius
Cotoneaster bullata	Cotoneaster bullatus
Cotoneaster divaricata	Cotoneaster divaricatus
Cotoneaster francheti	Cotoneaster franchetii
Cotoneaster frigida	Cotoneaster frigidus
Cotoneaster integerrima	Cotoneaster integerrimus
Cotoneaster lucida	Cotoneaster lucidus
Cotoneaster multiflora	Cotoneaster multiflorus
Cowania stansburiana	Cowania stansburyana
Crassula sieberana	Crassula sieberiana
Crataegus songorica	Crataegus songarica
Crataeva benthamii	Crateva benthamii
Cratoxylon ligustrinum	Cratoxylum ligustrinum
Crepis jacquini	Crepis jacquinii
Crinum purpurescens	Crinum purpurascens
Crocosmia crocosmiflora	Crocosmia crocosmiiflora
Crotalaria cajanifolica	Crotalaria cajanifolia
