originalName	newName
Miconia cabuçu	Miconia cabucu
Elytropappus  rhinocerotis	Elytropappus rhinocerotis
Leonotis ocymifolia var. (Gürke) M.Iwarsson	Leonotis ocymifolia
Loudetiopsis scaëttae	Loudetiopsis scaettae
Pennisetum americanum subsp. (Klotzsch ex A. Br. & Bouché) Brunken	Pennisetum americanum
Monanthochloë acerosa	Monanthochloe acerosa
Betula platyphylla ‘japonica’	Betula platyphylla
Striga sp. nov. aff. klingii	Striga klingii
Nectandra yarinensis cf.	Nectandra yarinensis
Podolepis sp. aff robusta (N.E.Alps)	Podolepis robusta
Rheum aff.ribes	Rheum ribes
Licania (hispidula???)	Licania hispida
Cordia bicolor (?spinescens)	Cordia bicolor
Cyphostemma gigantophyllum (mixed collection?)	Cyphostemma gigantophyllum
Hieracium rectulum (submutabile?)	Hieracium rectulum
Endlicheria dysodantha()	Endlicheria dysodantha
Senna artemisioides 1lft	Senna artemisioides
Senna artemisioides 3lft	Senna artemisioides
Senna artemisioides.3lft	Senna artemisioides
Senna artemisioides.1lft	Senna artemisioides
Dodonaea viscosa.angustissima	Dodonaea viscosa
Dodonaea viscosa.cuneata	Dodonaea viscosa
Dodonaea viscosa.spatulata	Dodonaea viscosa
Betula platyphylla.japonica	Betula platyphylla
Blastemanthus grandifIorus	Blastemanthus grandiflorus
Acacia brownii/ulicifolia	Acacia brownii
Acacia cheelii/melanoxylon	Acacia cheelii
Acer Ginnala	Acer ginnala
Alnus crispa=A. sinuata	Alnus crispa
Amyris balsamifera/elemifera	Amyris balsamifera
Caragana iIntermedia	Caragana intermedia
Carex .umbrosa/sempervires	Carex umbrosa
Ceratonia .siliqua	Ceratonia siliqua
Cortaderia .selloana	Cortaderia selloana
Cremanthodium Lineare	Cremanthodium lineare
Cryptocarya microneura/glaucescens	Cryptocarya microneura
Duroia Velutina	Duroia velutina
Erythrina latissima/decora	Erythrina latissima
Eucalyptus argyphea/ornata	Eucalyptus argyphea
Hakea cygna.cygna	Hakea cygna
Hakea cygna.needlei	Hakea cygna
Hakea obliqua.parviflora	Hakea obliqua
Hakea orthorryncha.filiformis	Hakea orthorrhyncha
Hakea orthorryncha.orthorryncha	Hakea orthorrhyncha
Hakea pandicarpa.crassifolia	Hakea pandanicarpa
Hakea pandicarpa.pandicarpa	Hakea pandanicarpa
Hakea recurva.arida	Hakea recurva
Hakea recurva.recurva	Hakea recurva
Hakea scoparia.scoparia	Hakea scoparia
Hakea scoparia.trycherica	Hakea scoparia
Humiria baIsaminifera	Humiria balsamifera
Ilex Ilex colchica	Ilex colchica
Justicia heterocarpa/boaleri	Justicia heterocarpa
Leucothoe aff Stenophylla	Leucothoe stenophylla
Lipocarpha chinensis/atra	Lipocarpha chinensis
Lithocarpus xylocarpus	Lithocarpus xylocarpus
Metrosideros polymorpha.gl	Metrosideros polymorpha
Metrosideros polymorpha.pb	Metrosideros polymorpha
Myrtus .communis	Myrtus communis
Olea capensis.ssp.macrocarpa	Olea capensis
Olea europaea.ssp.africana	Olea europaea
Ophioglossum lusitanicum/polyphyllum	Ophioglossum lusitanicum
Phragmites .communis	Phragmites communis
Pinus .pinaster	Pinus pinaster
Poa Pratensis	Poa pratensis
Polyalthia australis/nitidissima	Polyalthia australis
Protium insigne/neglectum	Protium insigne
Prunus iIlicifolia	Laurocerasus ilicifolia
Psathyrostachys Nevski	Psathyrostachys nevski
Quercus Ilex	Quercus ilex
Quercus mongolica.grosseserrata	Quercus mongolica
Quercus virginia.var.geminata	Quercus virginiana
Rhamnus .alaternus	Rhamnus alaternus
Ribes uva.crispa	Ribes uva-crispa
Salix anticecrenata.Monadelpha	Salix anticecrenata
Stachys byzantinus/germanica	Stachys byzantina
Strychnos henningsii.ssp.gerrardii	Strychnos henningsii
Syzygium eucalyptoides.ssp.bleeser	Syzygium eucalyptoides
Talauma* ovata	Talauma ovata
Unonopsis Glaucopetala	Unonopsis glaucopetala
Urtica Cannabina	Urtica cannabina
Vaccinium myrtilLoides	Vaccinium myrtilloides
Vicia lutea.lutea	Vicia lutea
Vicia lutea.vestita	Vicia lutea
Vicia sativa.nigra	Vicia sativa
Vicia sativa.sativa	Vicia sativa
Vicia villosa.varia	Vicia villosa
Hebe salcifolia	Hebe salicifolia
Abutilon engleranum	Abutilon englerianum
Abutilon theophrastii	Abutilon theophrasti
Abutilon xantii	Abutilon xanti
Acacia "elongate"	Acacia elongata
Acacia aulocarpa	Acacia aulacocarpa
Acacia baileyanum	Acacia baileyana
Acacia bidwilii	Acacia bidwillii
Acacia burkitti	Acacia burkittii
Acacia dawsoni	Acacia dawsonii
Acacia defficilis	Acacia difficilis
Acacia dudgeonii	Acacia dudgeoni
Acacia elatum	Acacia elata
Acacia kempena	Acacia kempeana
Acacia mosllissima	Acacia mollissima
Acacia oshanseii	Acacia oshanesii
Acacia paradoxum	Acacia paradoxa
Acacia parramattense	Acacia parramattensis
Acacia perangustata	Acacia perangusta
Acacia podaluriafolia	Acacia podalyriifolia
Acacia podalyriafolia	Acacia podalyriifolia
Acacia retinoides	Acacia retinodes
Acacia suaevolens	Acacia suaveolens
Acacia tetragonaphylla	Acacia tetragonophylla
Acacia willhelmiana	Acacia wilhelmiana
Acaena montanum	Acaena montana
Acaena novaezelandiae	Acaena novae-zelandiae
Acaena novaezeyla	Acaena novae-zelandiae
Acaena sanguisorb	Acaena sanguisorbae
Acalipha communis	Acalypha communis
Acalypha ostryaefolia	Acalypha ostryifolia
Accolacuarina rigida	Allocasuarina rigida
Acer albo-purpurascens	Acer albopurpurascens
Acer macryophyllum	Acer macrophyllum
Acer plantanoides	Acer platanoides
Acer saccharinus	Acer saccharinum
Aceras anthropophora	Aceras anthropophorum
Achillea artrata	Achillea atrata
Achillea asplenifolia	Achillea aspleniifolia
Achillea clavaneF****	Achillea clavennae
Achillea clavenae	Achillea clavennae
Achillea clusina	Achillea clusiana
Achillea filipendula	Achillea filipendulina
Achronychia laevis	Acronychia laevis
Achyrospermum carvahli	Achyrospermum carvalhoi
Ackama rosaefolia	Ackama rosifolia
Acmena graviolens	Acmena graveolens
Acmena mackinoniana	Acmena mackinnoniana
Acmenosperma claviflorus	Syzygium claviflorum
Acomastylis rosii	Acomastylis rossii
Acosmiun panamensis	Acosmium panamense
Acridocarpus camerounensis	Acridocarpus camerunensis
Acrocerus zizanioides	Acroceras zizanioides
Acronychia baeuerleniii	Acronychia baeuerlenii
Actinidia kolomicta	Actinidia kolomikta
Actinodaphne emeiensis	Actinodaphne omeiensis
Actinostrobus glauca	Actinostrobus acuminatus
Actites megalocarpus	Actites megalocarpa
Adansonia suarezenis	Adansonia suarezensis
Adelobotrys boissierana	Adelobotrys boissierianus
Adenanthos labillardieri	Adenanthos labillardierei
Adenocaulon himalayicum	Adenocaulon himalaicum
Adenostemma himalaicum	Adenostemma aquaticum
Adenostyle alpina	Adenostyles alpina
Adensnthos forrestii	Adenanthos forrestii
Adonis dentatus	Adonis dentata
Adpdytes dimidiata	Apodytes dimidiata
Aechmea lasserii	Aechmea lasseri
Aegiphila klotzkiana	Aegiphila lhotskiana
Aegiphila klotzkiana????	Aegiphila lhotskiana
Aegiphila lhotzkiana????	Aegiphila lhotskiana
Aesculus hippocastaneum	Aesculus hippocastanum
Aethionema cordifolium	Aethionema coridifolium
Afrocarpus falcata	Afrocarpus falcatus
Afzelia indet	Afzelia integrifolia
Agarista polyphylla	Agauria polyphylla
Agathis labillardieri	Agathis labillardierei
Agave tequiliana	Agave tequilana
Aglaia nitidula	Acacia nitidula
Aglaia pervridis	Aglaia perviridis
Agoseris coronopifolium	Agoseris coronopifolia
Agrostis ammobia	Lachnagrostis ammobia
Agrostis schraderana	Agrostis schraderiana
Ajania fruticolosa	Ajania fruticulosa
Ajuga chamaepitis	Ajuga chamaepitys
Albizia adinathifolia	Albizia adianthifolia
Albizia indet	Albizia intermedia
Albizia polyanthum	Albizia polyantha
Alchornea castanaefolium	Alchornea castaneifolia
Alchornea costaricense	Alchornea costaricensis
Aldina lotifolia	Aldina latifolia
Alectoria nigricans	Arenaria nigricans
Alectryon cornatus	Alectryon connatus
Alectryon oleifolium	Alectryon oleifolius
Aleurites moluccanus	Aleurites moluccana
Aleuropus littoralis	Aeluropus littoralis
Allanblackia stanerana	Allanblackia staneriana
Allemanda violacea	Allamanda violacea
Allium albo-tunicatum	Allium albotunicatum
Allium amethysticum	Allium amethystinum
Allium platysphatum	Allium platyspathum
Allium schoenprasum	Allium schoenoprasum
Allium victorialia	Allium victorialis
Allophyllum giliodes	Allophyllum gilioides
Allophyllus occidentalis	Allophylus occidentalis
Alluaudia humberti	Alluaudia humbertii
Alniphyllum plerospermum	Alniphyllum pterospermum
Alnus inokumai	Alnus inokumae
Alnus oregona	Alnus oregana
Alnus oregoni	Alnus oregana
Aloe buttneri	Aloe buettneri
Aloe dewettii	Aloe dewetii
Aloe transvaalensis	Aloe transvalensis
Alopecurus maudshuricus	Alopecurus mandshuricus
Alophia medusae	Alophia medusa
Alphitonia neocaledonia	Alphitonia neocaledonica
Alphitonia petrei	Alphitonia petriei
Alphitonia tranguloides	Alphitonia franguloides
Alpinia homeana	Alpinia horneana
Alseodaphne semicarpifolia	Alseodaphne semecarpifolia
Alstonia pnematophora	Alstonia pneumatophora
Alteramnus lucidus	Ateramnus lucidus
Alyssum dinteri	Alyssum intermedium
Alyssum pallidiflorus	Cynoglossum pallidiflorum
Alyssum praetermissus	Elaphoglossum praetermissum
Alyssum tuberculatus	Alyssum tuberculatum
Alyxia olivaeformis	Alyxia oliviformis
Alyxia torqueata	Alyxia torquata
Amanita rubescens	Amalia rubescens
Ammania coccinnea	Ammannia coccinea
Amoora rohitika	Amoora rohituka
Amphicarpea bracteata	Amphicarpaea bracteata
Amphipogon carcinus	Amphipogon caricinus
Amphitecna kennedyae	Amphitecna kennedyi
Amsinckia eastwoodae	Amsinckia eastwoodiae
Amyema linophyllum	Amyema linophylla
Amyema miraculosum	Amyema miraculosa
