"","V1"
"Casearia_sylvestris",2.20183253035245
"Pleuranthodendron_lindenii",2.00381655602755
"Scolopia_mundii",1.90633504180509
"Populus_deltoides",2.05968045140544
"Populus_maximowiczii",1.98927613460823
"Populus_balsamifera",2.0834739398079
"Populus_tremula",2.12585130850486
"Populus_nigra",2.03805810628012
"Populus_grandidentata",2.15465126081499
"Populus_tremuloides",2.09231517144257
"Populus_alba",2.04931410207891
"Salix_fragilis",1.99341359513116
"Salix_alba",2.06705777867224
"Salix_pentandra",2.22184129979142
"Salix_laevigata",1.91660489211035
"Salix_triandra",2.07075762737841
"Salix_fuscescens",2.13076828026902
"Salix_herbacea",2.278587964103
"Salix_caprea",2.17268456013229
"Salix_alaxensis",2.00436480540245
"Salix_arctica",2.08129274599249
"Salix_rosmarinifolia",1.97881070093006
"Salix_reticulata",1.97638741305669
"Salix_lanata",2.10856502373283
"Salix_pulchra",2.03844892228497
"Salix_glauca",2.05293150609206
"Salix_lapponum",2.03054696748532
"Salix_phylicifolia",2.01660487236132
"Salix_polaris",2.10193471920565
"Salix_cinerea",1.99968822757082
"Salix_myrtilloides",2.18442225170874
"Salix_repens",2.15724335165986
"Salix_myrsinites",1.98596299960231
"Salix_purpurea",1.97757162880667
"Salix_dasyclados",1.99083827635155
"Salix_myrsinifolia",2.06068179741352
"Salix_viminalis",2.09051949077608
