"","x"
"Abies_alba",1.72
"Abies_lasiocarpa",1.03
"Abronia_villosa",5
"Abuta_candollei",1.69007714033623
"Abutilon_theophrasti",3.93
"Acacia_auriculiformis",2.48
"Acacia_colei",1.948
"Acacia_continua",1.78653755893916
"Acacia_dimidiata",2.156
"Acacia_doratoxylon",2.0055400585776
"Acacia_floribunda",2.30676538612538
"Acacia_havilandiorum",1.45617389135905
"Acacia_karroo",4.039
"Acacia_mimula",2.389
"Acacia_oswaldii",1.83827926945218
"Acacia_suaveolens",1.91037556786263
"Acacia_wilhelmiana",1.89103752030813
"Acalypha_skutchii",2.583
"Acer_campestre",1.94
"Acer_mono",1.6
"Acer_monspessulanum",2.04136984882951
"Acer_negundo",2.5
"Acer_opalus",3.27
"Acer_pensylvanicum",2.19785349830238
"Acer_platanoides",1.95253681143276
"Acer_pseudoplatanus",2.50069990202743
"Acer_rubrum",1.90612490284577
"Acer_saccharum",1.81789765811426
"Achillea_erba",4.62
"Achillea_millefolium",2.42006895227071
"Acomastylis_rossii",2.5
"Acronychia_pedunculata",2.1
"Actinodaphne_ambigua",1.14
"Adenanthos_cygnorum",0.788
"Adenocarpus_foliolosus",3.88958
"Adenostoma_fasciculatum",0.947267413314262
"Adina_cordifolia",2.09
"Adonis_vernalis",2.81
"Aegilops_geniculata",2.86179335650742
"Aegilops_ovata",2.83
"Aegiphila_costaricensis",1.552
"Aegiphila_lhotzkiana",2.67
"Aegle_marmelos",1.93
"Aegopodium_podagraria",4.0816611254102
"Aesculus_californica",2.0215
"Aesculus_hippocastanum",2.35583333333333
"Aextoxicon_punctatum",0.969948452238571
"Afrocarpus_falcatus",1.22212726416471
"Agastache_foeniculum",2.73
"Ageratina_liebmannii",3.92
"Agropyron_repens",2.09451014201412
"Agrostis_foliata",2.16
"Agrostis_scabra",1.55
"Albizia_adianthifolia",3.8
"Alchornea_costaricensis",2.32
"Allium_rubens",1.7196464727604
"Allium_strictum",1.7311049398252
"Allocasuarina_pusilla",1.06
"Allophylus_camptostachys",1.129
"Allophylus_sootepensis",2.27
"Alnus_crispa",2
"Alnus_glutinosa",3.5375
"Alnus_hirsuta",3.2
"Alnus_incana",3.20365093655902
"Alnus_maximowiczii",2.2494443758404
"Alnus_rhombifolia",2.2525
"Alnus_rugosa",2.75499546279118
"Alseis_blackiana",2.97
"Amaranthus_blitoides",4.32
"Amaranthus_retroflexus",2.55
"Ambrosia_artemisiifolia",2.55
"Ambrosia_trifida",4.41
"Amelanchier_alnifolia",1.82
"Amomyrtus_luma",1.01
"Amoora_rohituka",1.81
"Amorpha_canescens",2.37775762
"Amphitecna_tuxtlensis",1.426
"Anacardium_excelsum",1.66
"Anagallis_arvensis",2.88606
"Anagyris_foetida",3.72
"Andersonia_heterophylla",0.94
"Andromeda_glaucophylla",1.25880896088326
"Andromeda_polifolia",1.55335
"Andropogon_gerardii",1.44478526279859
"Anemone_cylindrica",1.76125534872147
"Anemone_rupicola",2.59233193474366
"Anemone_sylvestris",2.36
"Angelica_sylvestris",2.97448303783785
"Anigozanthos_humilis",3.546
"Annona_coriacea",2.09
"Annona_spraguei",2.2
"Annona_squamosa",3.17
"Anogeissus_latifolia",1.44
"Antennaria_dioica",1.46
"Anthemis_tinctoria",1.9
"Anthonotha_graciliflora",2.17
"Anthonotha_macrophylla",2.52
"Anthriscus_sylvestris",2.36977435693095
"Apeiba_glabra",2.19
"Apeiba_tibourbou",2.64
"Apodytes_dimidiata",2.11146868316819
"Apollonias_barbujana",1.2725
"Aquilegia_vulgaris",2.32
"Arabis_alpina",2.94
"Arabis_caerulea",3.2
"Arabis_hirsuta",2
"Araucaria_araucana",0.58
"Arbutus_canariensis",1.239298
"Arbutus_menziesii",1.26528994381461
"Arbutus_unedo",1.40413341922861
"Arctagrostis_latifolia",2
"Arctium_tomentosum",4.73
"Arctostaphylos_alpina",1.636716759247
"Arctostaphylos_crustacea",1.025
"Arctostaphylos_tomentosa",1.0327614057614
"Arctostaphylos_uva-ursi",0.927900856772964
"Arisaema_triphyllum",6.36
"Aristolochia_rotunda",3.38178300702455
"Aristotelia_fruticosa",1.85104711124054
"Artemisia_absinthium",2.21
"Artemisia_genipi",2.98
"Artemisia_tridentata",1.5128630608882
"Artemisia_vulgaris",2.33
"Artocarpus_heterophyllus",2.62
"Artocarpus_lakoocha",1.99
"Asclepias_syriaca",2.72
"Asclepias_tuberosa",2.13
"Aspidosperma_album",1.2408585737303
"Aspidosperma_megalocarpon",1.29
"Aspidosperma_tomentosum",1.03
"Aster_amellus",2.11
"Aster_azureus",1.6
"Aster_ericoides",1.78
"Astragalus_alpinus",4.69557067884192
"Astragalus_canadensis",4.13
"Astragalus_frigidus",5.30647244499584
"Astragalus_geminiflorus",3.465
"Astrocaryum_mexicanum",1.669
"Astroloma_xerophyllum",0.98
"Astronium_graveolens",2.642286
"Astrotricha_floccosa",1.58779052672553
"Athylium_wallichianum",3.13910054320805
"Atriplex_canescens",2.1
"Atriplex_halimus",5.2
"Atriplex_stipitata",2.89856876265623
"Aulax_umbellata",0.800405476065329
"Austrocedrus_chilensis",1.09
"Avena_barbata",2.44502914537843
"Avenula_bromoides",1.87347580715631
"Azadirachta_indica",3.05
"Azorella_pedunculata",1.61
"Baccharis_angustifolia",1.95
"Baccharis_arbutifolia",2.92
"Baccharis_pilularis",2.44343055269397
"Bactris_trichophylla",1.538
"Baeckea_crassifolia",0.94
"Balanites_maughamii",3.922
"Bambusa_bambos",2.3
"Banksia_attenuata",0.813
"Banksia_marginata",0.769121636379307
"Banksia_menziesii",0.802
"Banksia_ornata",0.67
"Baptisia_leucophaea",3.59
"Barteria_fistulosa",2.34
"Bartsia_alpina",2.54403983796312
"Bauhinia_holophylla",2.42
"Bauhinia_multinervia",3.122829
"Bauhinia_vahlii",2.47
"Bauhinia_variegata",3.01
"Bellucia_grossularioides",1.69
"Berberis_ilicifolia",1.173
"Berberis_trifoliolata",1.3
"Berberis_vulgaris",2.29666666666667
"Berlinia_auriculata",2
"Bertya_cunninghamii",1.91212311984815
"Beta_vulgaris",3.81
"Betula_alleghaniensis",2.2
"Betula_ermanii",2.14242852856286
"Betula_glandulosa",2.38
"Betula_nana",2.4504721208105
"Betula_nigra",2.28
"Betula_papyrifera",2.28881253513386
"Betula_pendula",2.28744155966636
"Betula_platyphylla",2.70370116691916
"Betula_populifolia",1.79
"Betula_pubescens",2.75881498289605
"Betula_pumila",1.65320900070136
"Beureria_cumanensis",2.20753327287269
"Beyeria_opaca",1.72361640725961
"Bistorta_bistortoides",3.9
"Bomarea_glaucescens",2.17
"Bombax_ceiba",1.6
"Boronia_ledifolia",1.1911034113789
"Bosqueia_phoberos",2.41
"Bossiaea_eriocarpa",1.888
"Bossiaea_walkeri",1.21487757128378
"Boswellia_serrata",1.32
"Bougainvillea_spectabilis",2.73
"Bouteloua_curtipendula",1.12
"Bowdichia_virgilioides",2.37
"Brabejum_stellatifolium",0.862
"Brachychiton_megaphyllus",2.02
"Brachychiton_populneus",1.66337361215439
"Brachyglottis_revoluta",1.09287171766618
"Brachypodium_distachyon",2.040596481424
"Brachypodium_phoenicoides",1.79828575103521
"Brachypodium_retusum",1.91
"Bridelia_retusa",1.95
"Bromus_erectus",2.06035959263183
"Bromus_hordeaceus",2.67
"Bromus_inermis",1.59197737
"Bromus_lanatus",2.63
"Bromus_lanceolatus",2.03290852049471
"Bromus_madritensis",2.13978970929388
"Brosimum_alicastrum",2.132
"Broussaisia_arguta",1.34
"Buchanania_cochinchinensis",1.99
"Buchanania_obovata",1.32682333525027
"Buddleja_davidii",1.98
"Bulnesia_arborea",1.969
"Bunias_orientalis",5.16
"Bupleurum_rigidum",1.49257156893732
"Bupleurum_salicifolium",2.160251
"Bursera_simaruba",2.021441032531
"Butea_monosperma",2.54
"Buxus_macowanii",3.524
"Buxus_sempervirens",1.51898079848795
"Cacalia_hastata",4.1043901798276
"Caesalpinia_granadillo",1.806
"Calamagrostis_canadensis",2.3
"Calamagrostis_intermedia",0.67
"Calamagrostis_lapponica",1.757791930382
"Calamintha_nepeta",2.8309349002547
"Calamovilfa_longifolia",1.76
"Calandrinia_acaulis",2.69
"Calathea_inocephala",1.73
"Calla_palustris",4.12
"Callitris_glaucophylla",1.13900946703598
"Callitris_intratropica",1.11
"Calluna_vulgaris",0.956835060673121
"Calodendrum_capense",4.541
"Calophyllum_longifolium",1.17
"Caltha_palustris",3.91705147400439
"Calytrix_alpestris",1.04
"Calytrix_flavescens",1.026
"Camellia_japonica",1.01374274560161
"Camissonia_brevipes",2.73
"Camissonia_claviformis",3.54
"Campanula_barbata",2.27
"Campanula_glomerata",2.7
"Campanula_sibirica",1.71
"Campomanesia_aromatica",1.48
"Capparis_aristiguetae",2.21565348
"Capparis_baducca",1.634
"Capparis_flexuosa",3.29235
"Capparis_linearis",1.26
"Capparis_odoratissima",1.148
"Capparis_pachaca",1.35
"Capparis_spinosa",4.72
"Capparis_verrucosa",3.15587859
"Capsella_bursa-pastoris",4.34
"Caraipa_heterocarpa",0.93
"Carex_aquatilis",2
"Carex_bigelowii",1.725
"Carex_capitata",1.707275
"Carex_halleriana",1.861665
"Carex_kauaiensis",0.97
"Carex_pichinchensis",1.65
"Carex_rostrata",2.414675
"Carex_saxatilis",2.897825
"Carex_vaginata",1.93266115688721
"Carissa_carandas",1.17
"Carissa_lanceolata",1.284
"Carpinus_betulus",1.87
"Carpinus_caroliniana",2.14476105895272
"Carum_carvi",3.5
"Carya_cordiformis",2.6
"Carya_glabra",2.0574255758107
"Carya_ovata",2.08710325571113
"Carya_tomentosa",1.638103
"Caryocar_brasiliense",1.89
"Cascabela_thevetia",1.92
"Casearia_arborea",2.82
"Cassia_fistula",2.2
"Cassine_schinoides",1.339
"Cassinia_trinerva",1.85128110541298
"Cassiope_tetragona",1.23680777335911
"Cassipourea_ruwensorensis",2.9
"Castanea_dentata",2.5862
"Castanea_sativa",2.37666666666667
"Castanopsis_sieboldii",1.34411505433761
"Castilla_elastica",2.13
"Castilleja_fissifolia",1.39
"Catananche_caerulea",2.030725
"Caulophyllum_thalictroides",5.82
"Ceanothus_cuneatus",1.54386008515851
"Ceanothus_oliganthus",2.12813904598271
"Cecropia_ficifolia",2.47
"Cecropia_insignis",2.08
"Cecropia_longipes",2.61
"Cecropia_obtusifolia",2.55217554255188
"Celtis_africana",3.2743329112253
"Celtis_gomphophylla",2.99
"Celtis_occidentalis",2.39
"Cephalaria_squamiflora",2.29
"Cerastium_arvense",3.5
"Cerastium_mollissimum",2.93393933134276
"Cerastium_uniflorum",2.615
"Cerasus_lusitanica",1.42549289721134
"Cerasus_mahaleb",2.206765
"Ceratonia_siliqua",1.36868550076341
"Cercocarpus_betuloides",2.4099054286866
"Chaetachme_aristata",3.48440451680573
"Chamaecytisus_proliferus",1.284331
"Chamaedaphne_calyculata",1.27216351150314
"Chamaedorea_alternans",1.203
"Chamaedorea_pinnatifrons",1.765
"Chamerion_angustifolium",2.95031998588297
"Charybdis_maritima",3.11
"Cheirodendron_trigynum",1.19
"Chenopodium_album",4.14176778107143
"Chenopodium_oahuense",3.63
"Chilopsis_linearis",1.543996
"Chionanthus_peglerae",1.971
"Chionanthus_virginicus",1.759639
"Chrysanthemum_leucanthemum",2.835
"Chrysocephalum_apiculatum",2.71
"Chrysophyllum_argenteum",1.8
"Chrysosplenium_alternifolium",2.3769346778608
"Chrysothamnus_nauseosus",1.933996
"Chuquiraga_jussieui",1.68
"Cibotium_glaucum",1.66
"Cichorium_intybus",3.55
"Cinnamomum_barbeyanum",1.6
"Cinnamomum_japonicum",0.976317170654029
"Cirsium_arvense",1.94
"Cissus_producta",2.04
"Cistus_albidus",1.48060798322851
"Cistus_ladanifer",1.7
"Cistus_laurifolius",1.45
"Cistus_libanotis",1.51
"Cistus_monspeliensis",2.02489644496103
"Cistus_populifolius",1.33
"Cistus_salviifolius",1.75242688863188
"Cistus_symphytifolius",1.50292
"Cladostemon_kirkii",5.902
"Clarisia_biflora",2.1
"Clausena_anisata",2.895
"Cleistanthus_schlechteri",2.123
"Clematis_vitalba",2.97461037919254
"Clermontia_montis-loa",2.85
"Clethra_alnifolia",1.26
"Clethra_mexicana",1.4
"Cleyera_japonica",1.14775155319144
"Clidemia_sericea",1.65
"Cneorum_tricoccon",2.01
"Cochlospermum_fraseri",1.57530949340122
"Cochlospermum_vitifolium",2.274
"Cola_greenwayi",2.648
"Combretum_fruticosum",3.037
"Comprosma_ochracea",1.50249792013167
"Comptonia_peregrina",2.21
"Condalia_hookeri",2.4
"Connarus_suberosus",1.54
"Conostephium_pendulum",0.912
"Convallaria_majalis",3.82
"Convolvulus_arvensis",3.56583759471265
"Coprosma_cheesemanii",1.59004653352967
"Coprosma_ciliata",1.67336148574441
"Coprosma_ernodeoides",0.99
"Coprosma_linariifolia",0.900295831232115
"Coprosma_parviflora",1.90913354560009
"Coprosma_rugosa",1.78227887788779
"Coprosma_serrulata",0.974421092820982
"Cordia_alliodora",3.1
"Cordia_bifurcata",2.12
"Cordia_caffra",3.547
"Cordia_megalantha",2.135
"Coreopsis_palmata",1.17
"Cornus_alternifolia",1.7
"Cornus_florida",1.54457559671262
"Cornus_racemosa",1.45
"Cornus_sanguinea",2.125
"Cornus_suecica",2.065525
"Correa_reflexa",1.25647775176398
"Corylus_americana",2.01
"Corylus_avellana",2.24395019998216
"Corymbia_bleeseri",0.901
"Corymbia_clavigera",1.12379120243338
"Corymbia_confertiflora",1.174
"Corymbia_foelscheana",0.78
"Corymbia_gummifera",0.813332909718634
"Corymbia_nesophila",1.2695
"Corymbia_porrecta",1.22825
"Corymbia_terminalis",0.9641546383577
"Coula_edulis",1.66
"Coursetia_ferruginea",3.15017652
"Crataegus_monogyna",1.67674580645382
"Cremanthodium_pinnatifidum",4.16959466373412
"Crepis_sancta",1.86311931139688
"Crepis_triasii",3.31
"Crepis_vesicaria",2.42433729385991
"Crescentia_cujete",2
"Croton_billbergianus",2.71
"Croton_schiedeanus",1.915
"Croton_steenkampianus",5.178
"Cryptocarya_alba",0.85
"Culcitium_canescens",1.21
"Cupania_dentata",1.502
"Cupania_rufescens",1.87
"Curtisia_dentata",1.47490203064475
"Cussonia_spicata",1.617
"Cycas_armstrongii",2.104
"Cymbopetalum_baillonii",1.316
"Cynometra_retusa",1.18
"Cyrilla_racemiflora",1.26
"Cytisus_scoparius",2.92166666666667
"Dacrydium_beccarii",0.89
"Dactylis_glomerata",3.05931653344221
"Dalbergia_armata",4.768
"Dalbergia_sissoo",2.09
"Daphne_gnidium",1.623058
"Daphne_mezereum",2.52666666666667
"Dasyphyllum_diacanthoides",1.21
"Datura_stramonium",5.72
"Daucus_carota",2.64026404503413
"Davilla_rugosa",1.4
"Delphinium_pictum",3.91
"Dendropanax_arboreus",0.896
"Dentaria_laciniata",5.3
"Deschampsia_cespitosa",1.8641825421204
"Desmazeria_rigida",2.55
"Desmodium_canadense",2.34
"Desmopsis_panamensis",2.21
"Dialium_guianense",1.688
"Dialium_schlechteri",3.284
"Dianthus_acicularis",2.1160181266517
"Dianthus_rupicola",2.03
"Dianthus_versicolor",2.0552128226677
"Diapensia_lapponica",1.355
"Diastella_divaricata",1.0566109917495
"Dichanthium_ischaemum",2.02
"Dichostemma_caloneura",3.58
"Dichostemma_glaucescens",2.22
"Dicranopteris_linearis",1.02293694820355
"Didymopanax_vinosum",1.82
"Digitalis_grandiflora",2.16
"Digitaria_tomentosa",2.27
"Dillenia_indica",1.36
"Diospyros_dendo",1.38
"Diospyros_ebenum",1.47
"Diospyros_embryopteris",1.63
"Diospyros_hoyleana",1.76
"Diospyros_natalensis",1.71619637570996
"Diospyros_texana",2.1
"Diospyros_whyteana",1.864
"Diphasiastrum_complanatum",0.80405
"Diplacus_aurantiacus",1.772
"Diplospora_malaccensis",2.311
"Diplostephium_rupestre",2.25
"Dipterocarpus_sublamellatus",1.629
"Dirca_occidentalis",2.5822601906346
"Dittrichia_viscosa",3.4
"Dodonaea_triquetra",1.90094609018331
"Dodonaea_viscosa",1.78746144873756
"Dombeya_kirkii",3.44
"Doronicum_clusii",4.04
"Dorycnium_hirsutum",3.19204
"Dorycnium_pentaphyllum",3.01654528160941
"Dorycnium_spectabile",3.660646
"Dovyalis_longispina",2.997
"Draba_aretioides",2.13
"Dracophyllum_kirkii",0.869142312451493
"Draracophyllum_prostratum",0.880129176538442
"Drimys_winteri",0.841771538070907
"Drosera_rotundifolia",1.20024751061589
"Dryas_integrifolia",1.21330948236631
"Dryas_octopetala",2.20529153616701
"Drypetes_natalensis",2.489
"Dubautia_scabra",0.81
"Duguetia_furfuracea",1.89
"Dussia_mexicana",1.584
"Echinacea_purpurea",1.5
"Echinops_ritro",1.97643412414446
"Efulensia_clematoides",2.78
"Ekebergia_capensis",1.85508612392353
"Elaeagnus_angustifolia",3.98
"Elaeagnus_rhamnoides",3.04333333333333
"Elateriospermum_tapos",1.689
"Elytrigia_repens",2.44365
"Embothrium_coccineum",1.46834799838591
"Empetrum_hermaphroditum",0.867582849069759
"Empetrum_nigrum",1.20477339691755
"Englerophytum_natalense",2.561
"Eperua_leucantha",1.25
"Eperua_purpurea",1.52
"Epilobium_angustifolium",1.9
"Epilobium_dodonaei",3.32
"Epilobium_latifolium",2.76
"Equisetum_arvense",2.11
"Equisetum_sylvaticum",2.30419091371408
"Equisetum_variegatum",2.24
"Eremaea_pauciflora",1.157
"Eremalche_rotundifolia",4.39
"Eremophila_deserti",1.59440640395079
"Eremophila_glabra",1.75786421327116
"Eremophila_longifolia",1.46397090687882
"Eremophila_mitchelli",1.86223144618773
"Erica_arborea",1.2385
"Erica_cinerea",1.41833333333333
"Erica_scoparia",1.35985293322477
"Erigeron_acre",2.1
"Erigeron_ecuadoriensis",2.86
"Erigeron_uniflorus",3.305
"Eriodictyon_californicum",1.27203121808421
"Eriophorum_angustifolium",2.02653478209102
"Eriophorum_triste",1.6
"Eriophorum_vaginatum",1.7925
"Eriostemon_australasius",1.19812127114026
"Erodium_cicutarium",1.97
"Eryngium_campestre",2.15877
"Erythrina_caffra",5.955
"Erythrina_excelsa",3.07
"Erythrina_folkersii",2.778
"Erythronium_americanum",4.2
"Erythrophleum_chlorostachys",2.31452580727392
"Erythrophleum_lasianthum",4.862
"Erythroxylum_cumanense",3.111621
"Erythroxylum_densum",2.632479
"Erythroxylum_orinocense",2.831421
"Eucalyptus_baxteri",0.82
"Eucalyptus_brevifolia",0.860253547895425
"Eucalyptus_dumosa",0.907616648780219
"Eucalyptus_foecunda",0.99
"Eucalyptus_globulus",1.27
"Eucalyptus_haemastoma",1.0437049996594
"Eucalyptus_incrassata",0.78
"Eucalyptus_intertexta",1.47174935692599
"Eucalyptus_miniata",1.22742661240252
"Eucalyptus_obliqua",0.94
"Eucalyptus_paniculata",1.08362876714321
"Eucalyptus_pruinosa",1.18679189414151
"Eucalyptus_socialis",1.2181956038928
"Eucalyptus_tectifica",1.23391317411594
"Eucalyptus_tetrodonta",0.898939615099645
"Eucalyptus_umbra",0.91179356099745
"Eucryphia_cordifolia",0.925213001836548
"Eugenia_casearioides",2.881857
"Eugenia_mabaeoides",1.29
"Eugenia_patens",1.179
"Eugenia_woodii",1.949
"Euonymus_europaeus",2.44666666666667
"Euphorbia_margalidiana",3.67
"Euphrasia_frigida",5.37509491185917
"Eutaxia_microphylla",1.88964710554449
"Exocarpos_aphyllus",1.06646194527861
"Fagus_grandifolia",2.0339616515559
"Fagus_sylvatica",2.28099393540039
"Faramea_occidentalis",1.41008864969547
"Faurea_macnaughtonii",1.914
"Ficus_benghalensis",1.29
"Ficus_carica",2.45030610332668
"Ficus_deltoidea",1.32
"Ficus_racemosa",2.24966664197165
"Ficus_religiosa",1.48
"Ficus_rumphii",1.55
"Ficus_scobina",3.01
"Ficus_yoponensis",1.725
"Filipendula_ulmaria",2.27937176378178
"Filipendula_vulgaris",1.9
"Flourensia_cernua",2.436338
"Fragaria_vesca",2.0060007185152
"Fragaria_viridis",1.83
"Frangula_alnus",2.56027342289842
"Fraxinus_americana",2.1172774622131
"Fraxinus_angustifolia",2.24679772120233
"Fraxinus_excelsior",2.16343091716221
"Fraxinus_mandshurica",2.4
"Fraxinus_nigra",2.1
"Fraxinus_ornus",2.02
"Fraxinus_pennsylvanica",1.8
"Freycinetia_arborea",1.91
"Fumaria_officinalis",4.93
"Funtumia_africana",2.5
"Galax_aphylla",0.89
"Galium_bermudense",1.78370339206829
"Galium_boreale",2.05
"Galium_mollugo",2.9436455103663
"Galium_verum",1.4019334874394
"Garcinia_intermedia",0.754
"Garcinia_mannii",1.32
"Garcinia_ovalifolia",1.52
"Gardenia_jasminoides",1.52
"Gardenia_latifolia",1.7
"Gaultheria_antipoda",0.91440468
"Gaultheria_crassa",1.05662553595675
"Gaylussacia_baccata",1.66
"Geijera_parviflora",1.69788105251553
"Genista_tinctoria",3.12
"Gentiana_bavarica",1.62
"Gentiana_kochiana",1.36
"Gentianella_nummularifolia",1.67
"Geraea_canescens",5.4
"Geranium_stramineum",2.54
"Geranium_sylvaticum",2.7214
"Geum_pentapetalum",2.6
"Geum_reptans",2.59
"Geum_rivale",2.43
"Gevuina_avellana",0.8
"Gladiolus_caryophyllaceus",1.902
"Glechoma_hederacea",5.24
"Globularia_cambessedesii",1.63
"Gochnatia_floribunda",1.61
"Gompholobium_grandiflorum",1.22621045318235
"Gompholobium_latifolium",1.71190148628548
"Goupia_glabra",1.51
"Grevillea_aneura",1.24
"Grevillea_buxifolia",0.707882178019624
"Grevillea_dimidiata",0.773
"Grevillea_pyramidalis",0.558
"Grevillea_speciosa",0.858075090170478
"Grewia_asiatica",1.73
"Griselinia_littoralis",1.047948
"Guarea_glabra",2.32916293977042
"Guarea_guidonia",1.95836666638298
"Guatteria_dumetorum",2.35
"Gunnera_magellanica",2.27
"Gutierrezia_sarothrae",1.68
"Gymnocarpium_dryopteris",1.64679995984429
"Hakea_acuminata",0.453
"Hakea_adnata",0.421
"Hakea_ambigua",0.604
"Hakea_amplexicaulis",0.359
"Hakea_anadenia",0.648
"Hakea_arborescens",0.566
"Hakea_auriculata",0.54
"Hakea_baxteri",0.388
"Hakea_bicornata",0.442
"Hakea_brownii",0.324
"Hakea_bucculenta",0.842
"Hakea_candolleana",0.561
"Hakea_ceratophylla",0.404
"Hakea_cinerea",0.637
"Hakea_commutata",0.518
"Hakea_conchifolia",0.594
"Hakea_corymbosa",0.368
"Hakea_costata",0.334
"Hakea_cristata",0.614
"Hakea_cucullata",0.658
"Hakea_cyclocarpa",0.416
"Hakea_cygna",0.563936615783228
"Hakea_dactyloides",0.534875659624679
"Hakea_denticulata",0.481
"Hakea_elliptica",0.637
"Hakea_eneabba",0.432
"Hakea_erecta",0.248
"Hakea_erinacea",0.463
"Hakea_ferruginea",0.388
"Hakea_flabellifolia",0.496
"Hakea_florida",0.5
"Hakea_francisiana",0.448
"Hakea_gilbertii",0.334
"Hakea_hookeriana",0.496
"Hakea_horrida",0.399
"Hakea_ilicifolia",0.302
"Hakea_incrassata",0.648
"Hakea_invaginata",0.507
"Hakea_kippistiana",0.61
"Hakea_lasiantha",0.468
"Hakea_lasiocarpha",0.464
"Hakea_laurina",0.658
"Hakea_lehmanniana",0.335
"Hakea_leucoptera",0.534
"Hakea_linearis",0.594
"Hakea_lissocarpha",0.436
"Hakea_longiflora",0.28
"Hakea_marginata",0.54
"Hakea_megalosperma",0.378
"Hakea_minyma",0.853
"Hakea_muelleriana",0.54
"Hakea_multilineata",0.324
"Hakea_myrtoides",0.55
"Hakea_neurophylla",0.54
"Hakea_newbeyana",0.38
"Hakea_nitida",0.486
"Hakea_obliqua",0.28
"Hakea_obtusa",0.745
"Hakea_oleifolia",0.511
"Hakea_orthorrhyncha",0.476205837847459
"Hakea_pandanicarpa",0.45866654554262
"Hakea_petiolaris",0.719
"Hakea_platysperma",0.334
"Hakea_polyanthema",0.442
"Hakea_preissii",0.453
"Hakea_pritzelii",0.68
"Hakea_prostrata",0.531027101655811
"Hakea_psilorrhyncha",0.345
"Hakea_pycnoneura",0.41
"Hakea_recurva",0.565257463462447
"Hakea_ruscifolia",0.539
"Hakea_scoparia",0.515441558277949
"Hakea_spathulata",0.496
"Hakea_stenocarpa",0.613
"Hakea_stenophylla",0.874
"Hakea_strumosa",0.313
"Hakea_suaveolens",0.442
"Hakea_subsulcata",0.734
"Hakea_sulcata",0.442
"Hakea_tephrosperma",0.730535865347591
"Hakea_teretifolia",0.516675431527427
"Hakea_tuberculata",0.48
"Hakea_undulata",0.776
"Hakea_varia",0.338
"Hakea_verrucosa",0.356
"Hakea_victoria",0.475
"Halenia_weddelliana",1.68
"Halimium_halimifolium",1.36
"Halimium_umbellatum",1.27
"Halocarpus_bidwillii",1.11954047511312
"Hamelia_patens",3.34
"Hampea_nutricia",2.106
"Handroanthus_billbergii",2.305
"Hardwickia_binata",2.02
"Harpephyllum_caffrum",1.073
"Hebe_arganthera",1.30358676213278
"Hebe_cockayniana",1.09727828244683
"Hebe_hectori",0.605470078433109
"Hebe_odora",0.721335871974075
"Hebe_pauciflora",1.27688660629031
"Hebe_pauciramosa",0.637415080219534
"Hebe_subalpina",0.964669905951379
"Heberdenia_bahamensis",0.929
"Hedera_helix",1.39222222222222
"Hedyosnium_maxicanum",2.1
"Hedysarum_alpinum",3.83
"Hedysarum_mackenziei",5.13
"Helenium_commutatum",0.92
"Helianthemum_nummularium",2.35699722474165
"Helianthus_microcephalus",2.62
"Helictotrichon_crassifolium",2.22
"Heliocarpus_appendiculatus",2.116
"Helleborus_foetidus",1.66
"Helleborus_lividus",1.69
"Herniaria_glabra",2.07
"Hesperostipa_spartea",1.81
"Heteromeles_salicifolia",0.990382120354122
"Heteropogon_contortus",1.18
"Hibbertia_bracteata",1.04044567758724
"Hibbertia_hugelii",1.103
"Hibbertia_riparia",1.08
"Hibbertia_sericea",1.05
"Hibbertia_subvaginata",1.319
"Hibiscus_rosa-sinensis",2.24
"Hierochloe_alpina",2
"Hippobromus_pauciflorus",2.089
"Hirtella_punctillata",0.531
"Hirtella_triandra",1.81
"Holodiscus_discolor",1.94088587759278
"Holoptelia_integrifolia",2.75
"Homalium_dictyoneurum",1.884
"Hordeum_murinum",3.05
"Humiria_balsamifera",0.69
"Hyeronima_alcheornoides",2.43
"Hymenanthes_maxima",0.86
"Hymenocardia_ulmoides",2.107
"Hyoscyamus_niger",5.4
"Hyperacanthus_amoenus",3.493
"Hypericum_balearicum",2.45
"Hypericum_reflexum",1.017319
"Hypochaeris_sonchoides",2.31
"Hypoestes_verticillaris",1.903
"Hypolaena_exsulca",0.55
"Ilex_anomala",1.24
"Ilex_aquifolium",1.60666666666667
"Ilex_canariensis",0.875
"Ilex_mitis",2.153
"Ilex_opaca",1.118958
"Ilex_platyphylla",1.35
"Ilex_verticillata",1.98027775829554
"Illicium_anisatum",1.25324942170076
"Impatiens_noli-tangere",3.98
"Inhambanella_henriquezii",2.283
"Inula_hirta",2.82
"Isoglossa_ciliata",4.4495867223822
"Itea_virginica",1.12
"Ixora_alba",2.2
"Ixora_coccinea",1.39
"Jacaranda_copaia",2.34
"Jacksonia_floribunda",1.605
"Jacquinia_revoluta",0.974
"Jasminum_odoratissimum",2.024853
"Juglans_ailanthifolia",3.1
"Juglans_cinerea",2.6
"Juglans_nigra",2.96
"Juglans_regia",2.19333333333333
"Juncus_arcticus",2.23358023788114
"Juncus_biglumis",1.56
"Juncus_trifidus",3.22798654336209
"Juniperus_communis",0.908190744308865
"Juniperus_monosperma",1.17
"Juniperus_oophora",0.87
"Juniperus_osteosperma",0.756
"Juniperus_oxycedrus",0.8403
