"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","sigsq.est","var.contrast","cor.constrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1","Alismatales","order","sla",46,145.130378,"0.551564144645608","0.245527780276121","0.202908075078271","BM","13.5356910812485","0","0","0.935064935064935","0.571428571428571","0.167832167832168","0.491508491508492"
"2","Poales","order","sla",283,90.16953,"2.00302023835131e-07","0.999999726012637","7.3685339541491e-08","OU","93.0376487405153","0","0","0.163836163836164","0.003996003996004","0.0559440559440559","0.0579420579420579"
"3","Saxifragales","order","sla",32,108.091552,"0.505509846293576","0.308525512963645","0.185964640742779","BM","8.22697436771303","0.001998001998002","0.001998001998002","0.833166833166833","0.181818181818182","0.717282717282717","0.873126873126873"
"4","Myrtales","order","sla",64,88.200517,"0.570968169756474","0.218984788801431","0.210047041442095","BM","20.4441247532122","0","0","0.237762237762238","0.859140859140859","0.197802197802198","0.393606393606394"
"5","Malvales","order","sla",38,80.999562,"0.11617846118296","0.841082265646504","0.0427392731705359","OU","10.7595184105934","0","0.001998001998002","0.633366633366633","0.31968031968032","0.177822177822178","0.829170829170829"
"6","Malpighiales","order","sla",103,105.848043,"0.451860554671729","0.166226599235629","0.381912846092642","BM","37.9784332019592","0","0","0.257742257742258","0.22977022977023","0","0.415584415584416"
"7","Fagales","order","sla",93,82.105497,"0.521904781524552","0.286097694626554","0.191997523848894","BM","33.1408078658578","0","0","0.707292707292707","0.675324675324675","0.235764235764236","0.367632367632368"
"8","Rosales","order","sla",144,89.277087,"0.304278204818808","0.583785994540909","0.111935800640283","OU","44.1182407851947","0","0","0.307692307692308","0.197802197802198","0.387612387612388","0.925074925074925"
"9","Fabales","order","sla",134,72.048797,"0.406212920734157","0.444350824211777","0.149436255054066","OU","50.6489668097085","0","0","0.045954045954046","0.0879120879120879","0.0899100899100899","0.391608391608392"
"10","Caryophyllales","order","sla",131,89.46094,"0.00494663309512459","0.99323362785755","0.00181973904732549","OU","46.3147146487875","0","0","0.131868131868132","0.151848151848152","0.163836163836164","0.037962037962038"
"11","Ericales","order","sla",97,92.447881,"0.377252171045847","0.4839662400346","0.138781588919554","OU","23.0904319932667","0","0","0.557442557442557","0.305694305694306","0.215784215784216","0.701298701298701"
"12","Dipsacales","order","sla",36,91.355929,"0.493260107507717","0.325280914585014","0.181458977907269","BM","10.2523633118648","0","0","0.513486513486514","0.503496503496504","0.601398601398601","0.385614385614386"
"13","Asterales","order","sla",216,83.663674,"1.77340254371353e-16","1","6.52379727166125e-17","OU","71.2578781721412","0","0","0.00999000999000999","0","0.317682317682318","0.385614385614386"
"14","Gentianales","order","sla",65,58.804914,"0.358964674306012","0.508980140150541","0.132055185543447","OU","16.4155852769721","0","0.001998001998002","0.501498501498502","0.781218781218781","0.543456543456543","0.649350649350649"
