"","taxa","rank","trait","size","age","aic.w.bm","aic.w.lambda","model.used","model.coef","mv.modelad","sigsq.est","var.contrast","cor.contrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1","Fagaceae","family","sla~leafN",46,40.409995,"2.80370916274145e-12","0.999999999997196","Lambda","0.605680722164925","7.87832688875358","0.877122877122877","0.821178821178821","0.589410589410589","0.521478521478521","0.917082917082917","0.001998001998002"
"2","Betulaceae","family","sla~leafN",21,27.279623,"0.199490769713119","0.800509230286881","Lambda","-0.0904415789637341",NA,"0.859140859140859","0.613386613386613","0.631368631368631","0.841158841158841","0","0.373626373626374"
"3","Rosaceae","family","sla~leafN",48,82.294052,"4.57262641727022e-05","0.999954273735827","Lambda","1.03663860046828","4.82733326719931","0.855144855144855","0.47952047952048","0.295704295704296","0.987012987012987","0.41958041958042","0.475524475524476"
"4","Fabaceae","family","sla~leafN",59,69.142534,"1.04048194916001e-22","1","Lambda","0.977903187814986","3.09483549896715","0.867132867132867","0.547452547452547","0.27972027972028","0.411588411588412","0.671328671328671","0.933066933066933"
"5","Asteraceae","family","sla~leafN",52,45.743704,"1.1415154050973e-06","0.999998858484595","Lambda","1.08401621224612","3.06582449764948","0.871128871128871","0.591408591408591","0.247752247752248","0.637362637362637","0.939060939060939","0.933066933066933"
