"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","sigsq.est","var.contrast","cor.constrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1","Poales","order","leafN",59,90.16953,"1.86719181266472e-05","0.999974459115713","6.86896616030086e-06","OU","27.3164147876652","0","0.00599400599400599","0.131868131868132","0.301698301698302","0.17982017982018","0.017982017982018"
"2","Myrtales","order","leafN",42,88.200517,"0.576085664830823","0.211984287200684","0.211930047968493","BM","18.5056633047351","0","0","0.48951048951049","0.649350649350649","0.205794205794206","0.033966033966034"
"3","Malvales","order","leafN",27,80.999562,"0.571968450710924","0.217617128556473","0.210414420732603","BM","10.3940718088046","0","0","0.555444555444555","0.47952047952048","0.721278721278721","0.32967032967033"
"4","Malpighiales","order","leafN",46,105.848044,"0.56126701787213","0.232255332143839","0.206477649984031","BM","15.6036957878173","0","0","0.971028971028971","0.381618381618382","0.421578421578422","0.247752247752248"
"5","Fagales","order","leafN",84,82.105497,"0.00846499760223685","0.988420929442733","0.00311407295503051","OU","34.5304312991899","0","0","0.0839160839160839","0.599400599400599","0.971028971028971","0.103896103896104"
"6","Rosales","order","leafN",86,89.277087,"0.5615324213525","0.231892433208087","0.206575145439413","BM","39.4601235818438","0","0","0.587412587412587","0.033966033966034","0.447552447552448","0.801198801198801"
"7","Fabales","order","leafN",69,72.048797,"0.566800501317069","0.208513641736332","0.224685856946599","BM","27.399962072027","0","0","0.121878121878122","0.989010989010989","0.111888111888112","0.401598401598402"
"8","Caryophyllales","order","leafN",35,89.46094,"0.439970486721526","0.398174301162641","0.161855212115833","BM","12.0278717390859","0","0","0.725274725274725","0.807192807192807","0.667332667332667","0.563436563436563"
"9","Asterales","order","leafN",55,83.663674,"7.41914068520662e-07","0.999998985154012","2.7293192006748e-07","OU","16.8179439412425","0","0","0.323676323676324","0.885114885114885","0.743256743256743","0.0799200799200799"
"10","Gentianales","order","leafN",34,58.804914,"0.00623582409492148","0.991470163894107","0.00229401201097189","OU","12.5364390426068","0","0","0.663336663336663","0.453546453546454","0.975024975024975","0.00999000999000999"
