"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","reml.sigsq","var.con","slope.con.var","slope.con.asr","slope.con.nh","ks.dstat"
"1",NA,NA,"sla",2285,390.702546,"3.22893379859228e-28","1","1.18717421987022e-28","OU","408.117806848682","0","0","0","0","0.045954045954046","0.021978021978022"
"2",NA,NA,"sla",37,329.993329,"0.379874795425549","0.480381533738372","0.13974367083608","OU","13.6176389790303","0.01998001998002","0.0959040959040959","0.383616383616384","0.127872127872128","0.011988011988012","0.989010989010989"
"3",NA,NA,"sla",52,290.000481,"0.00129499281228917","0.998228638191001","0.000476368996709946","OU","16.2634072485989","0","0","0.42957042957043","0.0879120879120879","0.837162837162837","0.17982017982018"
"4",NA,NA,"sla",2196,243.26968,"8.15682897588931e-32","1","2.99944102671743e-32","OU","442.193532381062","0","0","0","0","0.28971028971029","0"
"5",NA,NA,"sla",28,239.282505,"0.499500655364537","0.316745726139049","0.183753618496415","BM","11.1836027355002","0.00599400599400599","0.0639360639360639","0.447552447552448","0.031968031968032","0.25974025974026","0.943056943056943"
"6",NA,NA,"sla",52,290.000481,"0.00129499281228917","0.998228638191001","0.000476368996709949","OU","18.3602482027299","0","0","0.513486513486514","0.0879120879120879","0.879120879120879","0.117882117882118"
"7",NA,NA,"sla",2196,243.26968,"8.15682897588931e-32","1","2.99944102671752e-32","OU","375.726415377851","0","0","0","0","0.331668331668332","0"
"8",NA,NA,"sla",28,239.282505,"0.499500655364538","0.316745726139047","0.183753618496415","BM","10.9410142506816","0.00599400599400599","0.0999000999000999","0.475524475524476","0.051948051948052","0.263736263736264","0.991008991008991"
"9",NA,NA,"sla",28,237.57462,"0.473364124422712","0.352499569611915","0.174136305965374","BM","7.16409064938658","0.001998001998002","0","0.915084915084915","0.705294705294705","0.909090909090909","0.387612387612388"
"10",NA,NA,"sla",21,230.879679,"0.00253763319481242","0.996528853765597","0.000933513039590719","OU","8.30119574335436","0.00999000999000999","0.03996003996004","0.737262737262737","0.0859140859140859","0.463536463536464","0.679320679320679"
"11",NA,NA,"sla",2196,243.26968,"8.15682897588931e-32","1","2.99944102671735e-32","OU","455.57000663607","0","0","0","0","0.2997002997003","0"
"12",NA,NA,"sla",27,184.893003,"0.531906393705622","0.272417726150958","0.19567588014342","BM","14.0359841937548","0.00999000999000999","0.051948051948052","0.255744255744256","0.0659340659340659","0.183816183816184","0.0779220779220779"
"13",NA,NA,"sla",22,184.483677,"0.449506634496371","0.385132058537603","0.165361306966026","BM","7.17608414491019","0.001998001998002","0.02997002997003","0.719280719280719","0.699300699300699","0.831168831168831","0.161838161838162"
"14",NA,NA,"sla",2193,190.540566,"1.01097419898511e-30","1","3.71762337102257e-31","OU","403.318071823417","0","0","0","0","0.0999000999000999","0.001998001998002"
"15",NA,NA,"sla",26,130.747672,"0.54976631049299","0.24798700549857","0.202246684008441","BM","9.32446319495846","0.00599400599400599","0.03996003996004","0.647352647352647","0.047952047952048","0.43956043956044","0.461538461538462"
"16",NA,NA,"sla",46,145.130378,"0.540339351765956","0.260881922640275","0.19877872559377","BM","13.641799315252","0.003996003996004","0.001998001998002","0.381618381618382","0.171828171828172","0.919080919080919","0.03996003996004"
"17",NA,NA,"sla",358,137.53398,"6.80089618094956e-16","0.999999999999999","2.50169188298716e-16","OU","122.246100656769","0","0","0.2997002997003","0","0.267732267732268","0.417582417582418"
"18",NA,NA,"sla",33,147.065219,"0.504141891530068","0.185460872882069","0.310397235587863","BM","7.3307179968638","0.00999000999000999","0.135864135864136","0.22977022977023","0.401598401598402","0.757242757242757","0.757242757242757"
"19",NA,NA,"sla",1754,136.90047,"2.25729435740975e-18","1","8.30188788442843e-19","OU","301.675806607852","0","0","0","0","0.727272727272727","0.017982017982018"
"20",NA,NA,"sla",35,96.478688,"0.562001203480597","0.231250533802626","0.206748262716776","BM","7.86333462041098","0","0.001998001998002","0.585414585414585","0.14985014985015","0.871128871128871","0.465534465534466"
