"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","reml.sigsq","var.con","slope.con.var","slope.con.asr","slope.con.nh","ks.dstat"
"1","Austrobaileyales","order","seedMass",20,179.240928,"0.508619770411793","0.304270890404864","0.187109339183343","BM","6.7463208645369","0.143856143856144","0.757242757242757","0.373626373626374","0.17982017982018","0.25974025974026","0.773226773226773"
"2","Alismatales","order","seedMass",55,145.130379,"0.320561988392757","0.561512080146113","0.117925931461131","OU","6.37608454260849","0.0579420579420579","0.653346653346653","0.417582417582418","0.283716283716284","0.487512487512487","0.945054945054945"
"3","Asparagales","order","seedMass",359,124.91069,"0.279336212700166","0.617906269016743","0.102757518283091","OU","68.7662133461437","0","0.015984015984016","0.153846153846154","0.885114885114885","0.823176823176823","0.10989010989011"
"4","Commelinales","order","seedMass",23,100.894028,"0.212729363876586","0.0782568592130372","0.709013776910377","EB","12.6284152583115","0.0699300699300699","0.473526473526474","0.353646353646354","0.941058941058941","0.15984015984016","0.037962037962038"
"5","Arecales","order","seedMass",64,114.999068,"3.41684004727546e-20","1","1.25692613887458e-20","OU","34.1032513639814","0.611388611388611","0.127872127872128","0","0.02997002997003","0.153846153846154","0.327672327672328"
"6","Poales","order","seedMass",1194,90.16953,"3.69980545360752e-35","1","1.36096256515751e-35","OU","202.548398298319","0","0","0","0.18981018981019","0.749250749250749","0.001998001998002"
"7","Piperales","order","seedMass",33,122.157859,"0.021382797987027","0.970751037550065","0.00786616446290801","OU","5.15712405584665","0.505494505494505","0.745254745254745","0.0979020979020979","0.937062937062937","0.621378621378621","0.421578421578422"
"8","Laurales","order","seedMass",67,108.800419,"3.8243654968365e-05","0.99994768768504","1.40686599912347e-05","OU","47.86311709282","0.45954045954046","0.0559440559440559","0","0.255744255744256","0.571428571428571","0.137862137862138"
"9","Magnoliales","order","seedMass",71,95.495019,"0.0450692037952626","0.938351048880313","0.0165797473244248","OU","9.91193363995809","0.041958041958042","0.523476523476524","0.26973026973027","0.983016983016983","0.913086913086913","0.321678321678322"
"10","Ranunculales","order","seedMass",216,133.019919,"0.272844977606742","0.626784323397546","0.100370698995712","OU","45.2005910978626","0","0","0.513486513486514","0.00599400599400599","0.0619380619380619","0.291708291708292"
"11","Saxifragales","order","seedMass",155,108.091553,"0.425539084019358","0.156539520563831","0.417921395416812","BM","30.3884752366426","0","0","0.939060939060939","0.671328671328671","0.015984015984016","0.637362637362637"
"12","Geraniales","order","seedMass",53,109.434276,"0.527403556280056","0.278576457622593","0.194019986097352","BM","7.70456407160522","0.001998001998002","0.101898101898102","0.467532467532468","0.261738261738262","0.653346653346653","0.949050949050949"
"13","Myrtales","order","seedMass",495,88.200518,"6.26113820546707e-19","1","2.30313657525149e-19","OU","111.83772598928","0","0.805194805194805","0","0","0.197802197802198","0.011988011988012"
"14","Brassicales","order","seedMass",297,77.696062,"2.12468301910784e-17","1","7.81580746183521e-18","OU","75.6086944384753","0","0.505494505494505","0","0.23976023976024","0.0859140859140859","0.0659340659340659"
"15","Malvales","order","seedMass",267,80.999563,"0.00185313327591101","0.997465159301745","0.000681707422344177","OU","43.1941046838636","0","0.131868131868132","0.699300699300699","0.001998001998002","0.0679320679320679","0.34965034965035"
"16","Sapindales","order","seedMass",371,73.834063,"0.000234673606989485","0.999678998196362","8.63281966487755e-05","OU","63.7953552597346","0","0.025974025974026","0.221778221778222","0","0","0.0679320679320679"
"17","Zygophyllales","order","seedMass",33,83.605801,"0.384398254906927","0.474190663723252","0.141411081369821","OU","5.20154296059195","0.137862137862138","0.355644355644356","0.933066933066933","0.447552447552448","0.33966033966034","0.373626373626374"
"18","Malpighiales","order","seedMass",374,105.848044,"0.229595939947831","0.685943964657909","0.0844600953942597","OU","65.5164188303367","0","0.915084915084915","0.913086913086913","0.003996003996004","0.03996003996004","0.035964035964036"
"19","Cucurbitales","order","seedMass",90,73.384895,"0.533442871346464","0.270315275395016","0.196241853258519","BM","14.9155076965234","0.003996003996004","0.197802197802198","0.221778221778222","0.0539460539460539","0.295704295704296","0.845154845154845"
"20","Fagales","order","seedMass",207,82.105497,"0.369510664604965","0.494555384985059","0.135933950409976","OU","42.7521801520353","0","0.047952047952048","0.583416583416583","0.287712287712288","0.0819180819180819","0.0839160839160839"
"21","Rosales","order","seedMass",502,89.277087,"1.01280255554106e-06","0.999998614639926","3.72557518365877e-07","OU","115.276999735546","0","0.101898101898102","0.00999000999000999","0","0.305694305694306","0"
"22","Fabales","order","seedMass",1310,72.048799,"7.21437945322289e-24","1","2.65366700370772e-24","OU","309.288482987531","0","0","0","0","0.025974025974026","0"
"23","Santalales","order","seedMass",33,64.840478,"0.123217127905717","0.831454223794205","0.0453286483000784","OU","4.91598422923888","0.441558441558442","0.275724275724276","0.933066933066933","0.271728271728272","0.341658341658342","0.281718281718282"
"24","Caryophyllales","order","seedMass",585,89.460941,"8.19840588719588e-22","1","3.01570812094871e-22","OU","113.850864699874","0","0.561438561438561","0","0.04995004995005","0.345654345654346","0.01998001998002"
"25","Cornales","order","seedMass",64,97.740469,"0.493915776647289","0.181697486341807","0.324386737010904","BM","15.2582941635071","0.04995004995005","0.713286713286713","0.0819180819180819","0.191808191808192","0.017982017982018","0.685314685314685"
"26","Ericales","order","seedMass",457,92.447882,"0.00251537457825167","0.996559325983009","0.000925299438739378","OU","100.372409572374","0","0.0999000999000999","0.003996003996004","0.597402597402597","0.2997002997003","0.00599400599400599"
"27","Dipsacales","order","seedMass",95,91.35593,"0.00669126561042916","0.990847216752794","0.00246151763677737","OU","28.8879823575929","0.00599400599400599","0.703296703296703","0.00999000999000999","0.493506493506494","0.577422577422577","0.17982017982018"
"28","Asterales","order","seedMass",1150,83.663675,"1.7379996866797e-44","1","6.39304915912121e-45","OU","236.690958221659","0","0","0","0.741258741258741","0.395604395604396","0"
"29","Gentianales","order","seedMass",396,58.804915,"1.78948865347639e-07","0.999999755222221","6.58289134716294e-08","OU","53.2500771773531","0","0.217782217782218","0.351648351648352","0.633366633366633","0.123876123876124","0.0619380619380619"
"30","Solanales","order","seedMass",263,66.196125,"4.194216671507e-13","0.999999999999426","1.54291346831428e-13","OU","92.8067181208162","0","0.891108891108891","0","0.315684315684316","0.707292707292707","0"
"31","Lamiales","order","seedMass",794,61.394512,"0.0429493113910168","0.941250962098104","0.0157997265108789","OU","116.253989146956","0","0","0.413586413586414","0.215784215784216","0","0.137862137862138"
