"taxa","rank","trait","size","age","dic.bm","dic.ou","dic.eb","dicw.bm","dicw.ou","dicw.eb","m.sig.bayes.bm","c.var.bayes.bm","s.var.bayes.bm","s.asr.bayes.bm","s.hgt.bayes.bm","d.cdf.bayes.bm","mv.bayes.bm","mean.diag.bm","m.sig.bayes.ou","c.var.bayes.ou","s.var.bayes.ou","s.asr.bayes.ou","s.hgt.bayes.ou","d.cdf.bayes.ou","mv.bayes.ou","mean.diag.ou","m.sig.bayes.eb","c.var.bayes.eb","s.var.bayes.eb","s.asr.bayes.eb","s.hgt.bayes.eb","d.cdf.bayes.eb","mv.bayes.eb","mean.diag.eb"
"random","timeslice","leaf_n",43,65.093443,-53.5219482305046,-58.4740100569233,-57.9388188224846,0.0454639966214657,0.540747068093193,0.413788935285342,0.386,0.058,0.012,0.202,0.07,0.994,16.3758693752222,807,0.972,0.062,0.046,0.376,0.06,0.93,19.2042532830481,486,0.196,0.07,0.002,0.192,0.034,0.936,31.3176527675661,902
"random","timeslice","leaf_n",53,45.743702,-4.68481026677122,-31.0830460111945,-2.23087202767518,0.00000185222994796262,0.999997604733599,0.000000543036452804602,0.03,0.148,0,0.358,0,0.242,44.5886276700458,985,0.842,0.906,0.03,0.678,0.096,0.2,11.204520775733,579,0.03,0.14,0,0.28,0,0.224,48.8618658144418,985
"random","timeslice","leaf_n",34,58.804913,-14.2549396957243,-25.4172679152755,-12.8418977017868,0.00374709063446384,0.99440425369366,0.00184865567187635,0.43,0.166,0.006,0.026,0,0.654,23.0013809518057,785,0.91,0.832,0.476,0.354,0.514,0.118,5.36700741985853,455,0.408,0.16,0.008,0.018,0,0.78,25.388642191193,796
"random","timeslice","leaf_n",61,56.240539,-47.7946972615408,-67.5107472386614,-45.518910372946,0.0000523219761135661,0.999930909173329,0.0000167688505574852,0.12,0.002,0.076,0.002,0.006,0.402,37.7996501914319,940,0.976,0.044,0.338,0.238,0.04,0.468,14.2163927187164,488,0.11,0.004,0.064,0.004,0.002,0.442,46.2344108303247,945
"random","timeslice","leaf_n",28,14.197002,28.9128385588811,0.569916201161351,32.9110193593326,0.000000700506652619139,0.999999204603809,0.0000000948895385015777,0.002,0,0.02,0,0,0.058,223.470960588442,999,0.636,0,0.034,0.006,0,0.028,171.4152324582,682,0,0,0.006,0,0.002,0.04,189.177826812659,1000
"random","timeslice","leaf_n",43,4.537493,-42.5558764761555,-47.5768216395488,-40.8195996601166,0.0728306726208184,0.896599949479809,0.0305693778993729,0.326,0.16,0.104,0.534,0.122,0.896,8.96624531453295,837,0.63,0.294,0.214,0.612,0.368,0.546,4.93711605819354,685,0.202,0.092,0.038,0.48,0.044,0.862,11.8152767834399,899
"Poales","order","leaf_n",59,90.169528,7.80240749926552,-11.1141630175931,0.241122037343843,0.0000777681336023267,0.996512549274336,0.00340968259206145,0,0,0.05,0.018,0.112,0.074,115.418809232342,1000,0.628,0,0.002,0.138,0,0.01,118.153909097771,686,0,0,0.028,0.018,0.044,0.062,118.689017102807,1000
"Myrtales","order","leaf_n",42,88.200516,-40.9890386469186,-24.4081625989198,-40.9510360538542,0.504686265670054,0.000126628073546514,0.495187106256399,0.676,0.672,0.63,0.612,0.52,0.022,6.9203871976344,662,0.902,0.002,0.002,0.946,0.626,0.9,24.3616181536064,451,0.382,0.568,0.342,0.822,0.258,0.282,7.178330910766,809
"Malvales","order","leaf_n",27,80.999558,-31.7687945900523,-23.8210449546566,-39.541305285226,0.0201017651074999,0.000377922099645552,0.979520312792854,0.788,0.92,0.482,0.468,0.382,0.296,3.09491415168942,394,0.938,0.232,0.046,0.486,0.438,0.778,8.20399809253813,469,0.868,0.802,0.124,0.27,0.092,0.194,5.82310657695845,434
"Malpighiales","order","leaf_n",46,105.848039,-43.094680046244,-35.3804871405185,-53.7117874751326,0.00492419417355409,0.000104044580689993,0.994971761245756,0.874,0.4,0.668,0.658,0.282,0.708,4.07178368776229,563,0.894,0.006,0.324,0.554,0.496,0.338,15.2174790163543,447,0.486,0.354,0.452,0.588,0.138,0.638,8.12706277130563,757
"Fagales","order","leaf_n",84,82.105493,-87.886898130053,-98.5139254608923,-98.0984692262438,0.00270976211419906,0.550250987872065,0.447039250013736,0.008,0.004,0,0.028,0.006,0.374,49.7834689474546,996,0.606,0.008,0,0.322,0.074,0.146,29.8647782466019,697,0.002,0.006,0,0.016,0,0.374,55.7476664573354,999
"Rosales","order","leaf_n",86,89.277084,-129.042013606795,-126.758602660624,-128.760815300256,0.457015090030867,0.145913055934435,0.397071854034697,0.588,0.1,0.91,0.004,0.716,0.954,15.4674832475087,706,0.942,0.03,0.048,0.034,0.172,0.774,18.1270147186268,471,0.416,0.088,0.83,0,0.436,0.974,22.0085047392403,792
