"","taxa","rank","trait","size","age","dic.bm","dicw.bm","m.pic.mcmc.bm","v.pic.mcmc.bm","s.var.mcmc.bm","s.anc.mcmc.bm","s.hgt.mcmc.bm","d.ks.mcmc.bm","mv.mcmc.bm","dic.ou","dicw.ou","m.pic.mcmc.ou","v.pic.mcmc.ou","s.var.mcmc.ou","s.anc.mcmc.ou","s.hgt.mcmc.ou","d.ks.mcmc.ou","mv.mcmc.ou","dic.eb","dicw.eb","m.pic.mcmc.eb","v.pic.mcmc.eb","s.var.mcmc.eb","s.anc.mcmc.eb","s.hgt.mcmc.eb","d.ks.mcmc.eb","mv.mcmc.eb"
"1","Salicaceae","family","leafn",22,78.474371,-41.7637658760321,0.559651858235382,0,0.792,0.964,0.608,0.682,0.346,10.3195665026821,-41.1069756939415,0.402993252099758,0,0.508,0.874,0.48,0.96,0.36,10.0148218841201,-36.3500636941313,0.0373548896648601,0,0.788,0.768,0.308,0.878,0.618,11.0205487043219
"2","Fagaceae","family","leafn",46,40.409993,-37.9780156213275,0.000890726822105164,0,0.18,0.428,0.96,0.602,0.918,16.9597701535791,-52.0187691482039,0.996908776670354,0,0.32,0.592,0.86,0.77,0.508,17.5469747198087,-39.786816652593,0.00220049650754098,0,0.156,0.452,0.988,0.588,0.784,19.7084954844716
"3","Betulaceae","family","leafn",21,27.279622,-45.6862331172685,0.190490896060574,0,0.552,0.74,0.362,0.832,0.696,10.0480072874302,-44.8475869508911,0.125246190023445,0,0.412,0.632,0.352,0.874,0.76,9.69270034740978,-48.2437087515129,0.684262913915981,0,0.954,0.954,0.266,0.682,0.56,13.0211424539363
"4","Rosaceae","family","leafn",49,82.294049,-70.795682179978,0.242613927412502,0,0.028,0.646,0.004,0.604,0.692,32.5898476881945,-70.7874690375922,0.241619658961549,0,0.014,0.464,0.014,0.742,0.594,32.3704516709154,-72.3040473247767,0.515766413625949,0,0.03,0.616,0.004,0.768,0.726,36.7343135189482
"5","Fabaceae","family","leafn",67,69.14253,-103.41077169656,0.204077383483654,0,0.09,0.156,0.932,0.112,0.534,28.9200456544184,-69.4009264284924,8.40718902928505e-09,0,0,0.006,0.794,0.444,0.08,48.7937336578918,-106.13277710137,0.795922608109157,0,0.13,0.244,0.986,0.49,0.686,29.9746708100307
"6","Asteraceae","family","leafn",53,45.743702,-4.7271405630595,1.89703855311314e-06,0,0.504,0.814,0.962,0.718,0.37,15.1597547925128,-31.0775685987347,0.999997473824308,0,0.502,0.298,0.818,0.778,0.252,15.8929771330886,-2.51974049663215,6.29137138844754e-07,0,0.594,0.854,0.954,0.764,0.456,16.7334993407955
"7","Poales","order","leafn",59,90.169528,7.75901320882712,8.03687218267314e-05,0,0,0.72,0.032,0.486,0.052,41.8556444676254,-11.0972926067602,0.999267686588368,0,0,0.184,0.3,0.238,0.02,60.9167835082268,3.57234389231805,0.000651944689805145,0,0,0.724,0.054,0.786,0.062,43.6894337841005
"8","Myrtales","order","leafn",42,88.200516,-40.9416404750119,0.648604144996634,0,0.322,0.62,0.608,0.286,0.064,19.3744084351127,-24.4391454944502,0.000169242123532708,0,0.006,0.054,0.948,0.702,0.934,23.5079731297188,-39.7148585777068,0.351226612879834,0,0.558,0.924,0.6,0.49,0.11,17.1038418718413
"9","Malvales","order","leafn",27,80.999558,-31.7640362013753,0.00914394446447251,0,0.498,0.592,0.464,0.774,0.372,10.0471417785609,-23.8658956548005,0.000176227691164818,0,0.212,0.328,0.484,0.784,0.816,10.5805452739512,-41.1346352998133,0.990679827844363,0,0.37,0.476,0.33,0.888,0.292,11.9993276844651
"10","Malpighiales","order","leafn",46,105.848039,-43.0637019193624,0.00716905450093556,0,0.084,0.91,0.394,0.534,0.306,19.1233669418151,-35.4437176276276,0.000158782749135344,0,0,0.508,0.578,0.698,0.222,29.5579928750132,-52.9249552875579,0.992672162749929,0,0.136,0.74,0.396,0.616,0.296,18.794341886523
"11","Fagales","order","leafn",84,82.105493,-87.9343535737281,0.0038948775630567,0,0.03,0.26,0.364,0.788,0.234,37.8869686977151,-98.4795629844453,0.75920129254138,0,0.002,0.07,0.588,0.924,0.13,43.8488858972919,-96.1503376403526,0.236903829895564,0,0.014,0.278,0.274,0.882,0.258,38.5223928721702
"12","Rosales","order","leafn",86,89.277084,-129.087734987325,0.402320583436323,0,0.072,0.538,0.03,0.462,0.726,40.0055204784737,-126.705324091752,0.122247025192557,0,0.02,0.388,0.028,0.678,0.792,45.4517365164673,-129.421685878417,0.475432391371121,0,0.092,0.626,0.01,0.636,0.734,41.4719183146546
"13","Fabales","order","leafn",69,72.048793,-106.908727153983,0.218126718455674,0,0.094,0.144,0.964,0.142,0.416,29.6705396293302,-71.9707513484903,5.64967954838795e-09,0,0.002,0.026,0.766,0.412,0.074,42.2551646099829,-109.461960163774,0.781873275894647,0,0.122,0.23,0.994,0.582,0.62,33.3139843707023
"14","Caryophyllales","order","leafn",35,89.460934,-24.0474158802484,0.0148483797533681,0,0.826,0.748,0.736,0.726,0.308,11.7822527498024,-32.1857640487174,0.868758200286581,0,0.488,0.948,0.572,0.95,0.628,11.1099153675432,-28.1655863849842,0.116393419960051,0,0.912,0.874,0.65,0.904,0.378,11.8650087942199
"15","Asterales","order","leafn",55,83.663672,-3.05073831086328,2.31122422802131e-07,0,0.552,0.66,0.976,0.56,0.308,16.3598775042651,-33.6113483351462,0.999986714261602,0,0.488,0.304,0.884,0.736,0.152,18.2756158083812,-11.1186373624943,1.30546159753375e-05,0,0.592,0.598,0.898,0.454,0.324,17.2429801196851
"16","Gentianales","order","leafn",34,58.804913,-14.2764636222851,0.00371498121658724,0,0.622,0.924,0.252,0.566,0.248,13.7394692754051,-25.4571836752324,0.994990956855905,0,0.724,0.6,0.532,0.864,0.024,13.8961304992847,-12.1672884828892,0.00129406192750802,0,0.57,0.934,0.242,0.544,0.242,12.5069535507207
"17","random","timeslice","leafn",935,188.283243,-777.308085363816,0.000312536117026464,0,0,0.058,0.698,0.002,0.1,334.309304956909,-793.448821805251,0.999577788892481,0,0,0,0.918,0,0.014,378.826911323873,-775.213688010581,0.00010967499049264,0,0,0.054,0.69,0.002,0.074,312.222669899324
"18","random","timeslice","leafn",80,158.342078,6.15228706092668,7.15706303823409e-05,0,0,0.64,0.272,0.502,0.332,37.1780956421466,-12.9371718956613,0.999903724589331,0,0,0.04,0.866,0.35,0.098,57.5920520016937,8.27966314259519,2.47047802868829e-05,0,0,0.658,0.206,0.652,0.298,35.2243469987396
"19","random","timeslice","leafn",33,147.065217,-38.9178551218829,0.0257227510343841,0,0.818,0.454,0.142,0.302,0.154,16.4745072684759,-27.1253038068453,7.07289860903384e-05,0,0.138,0.072,0.254,0.786,0.18,17.9848102983081,-46.1863500407809,0.974206519979525,0,0.668,0.644,0.11,0.5,0.14,16.9899725308368
"20","random","timeslice","leafn",822,136.900467,-752.05905897087,0.0203873896389839,0,0,0.062,0.546,0.004,0.058,270.048075890055,-759.78871120663,0.972376108620095,0,0,0,0.836,0,0,345.951650495042,-749.987501670687,0.00723650174092152,0,0,0.066,0.524,0.006,0.08,294.356426705756
