"","taxa","rank","trait","size","age","dic.bm","dicw.bm","m.pic.mcmc.bm","v.pic.mcmc.bm","s.var.mcmc.bm","s.anc.mcmc.bm","s.hgt.mcmc.bm","d.ks.mcmc.bm","mv.mcmc.bm","dic.ou","dicw.ou","m.pic.mcmc.ou","v.pic.mcmc.ou","s.var.mcmc.ou","s.anc.mcmc.ou","s.hgt.mcmc.ou","d.ks.mcmc.ou","mv.mcmc.ou","dic.eb","dicw.eb","m.pic.mcmc.eb","v.pic.mcmc.eb","s.var.mcmc.eb","s.anc.mcmc.eb","s.hgt.mcmc.eb","d.ks.mcmc.eb","mv.mcmc.eb"
"21","random","timeslice","leafn",59,90.169528,7.77872589388684,8.90881166738758e-05,0,0,0.724,0.044,0.488,0.054,41.7436981079136,-10.8705126285012,0.998735458355714,0,0,0.164,0.298,0.284,0.028,60.7805075214199,2.6191591376166,0.00117545352761258,0,0,0.716,0.07,0.802,0.058,44.2307235270721
"22","random","timeslice","leafn",40,94.810763,-38.6657446651421,0.0103747739543473,0,0.004,0.806,0.056,0.284,0.738,29.8452099007217,-36.5895380387537,0.00367397420258333,0,0.002,0.654,0.204,0.566,0.556,30.064184264568,-47.7742039345669,0.985951251843069,0,0.002,0.796,0.218,0.604,0.702,29.1974489796298
"23","random","timeslice","leafn",145,116.87746,-145.650813056278,0.75432314477229,0,0.314,0.404,0.61,0.246,0.918,50.7210566902405,-122.100037207063,5.80191598092175e-06,0,0,0,0.936,0.38,0.18,81.2168851351522,-143.407158274843,0.24567105331173,0,0.398,0.514,0.554,0.296,0.958,51.996816047454
"24","random","timeslice","leafn",294,113.679599,-365.06844336817,0.752407769502714,0,0.002,0.068,0.148,0.052,0.1,129.032483783976,-344.105812832655,2.11093999152048e-05,0,0,0.002,0.306,0.094,0.016,143.636398480832,-362.845282318234,0.247571121097371,0,0,0.08,0.156,0.046,0.104,113.433854333667
"25","random","timeslice","leafn",304,116.697277,-190.153558863443,0.7550984951199,0,0.196,0.48,0.06,0.55,0.308,90.8399009968126,-168.951709944806,1.87966566737119e-05,0,0,0.002,0.218,0.852,0.002,163.445516736836,-187.90142117567,0.244882708223426,0,0.184,0.504,0.052,0.608,0.31,97.7236300286258
"26","random","timeslice","leafn",37,19.128619,16.8679530968968,2.98055894269302e-05,0,0,0.726,0.2,0.898,0.082,36.750403021025,-3.97360861231842,0.999966237798714,0,0,0.242,0.286,0.162,0.028,52.2967770152901,20.9065688424741,3.95661185867963e-06,0,0,0.672,0.152,0.964,0.066,38.4347812176227
"27","random","timeslice","leafn",36,49.040063,-39.8053259533686,0.0162137836777898,0,0,0.934,0.92,0.934,0.28,25.249633671372,-47.9685018730471,0.960495872177692,0,0.002,0.898,0.728,0.816,0.278,25.2332385311634,-40.5296802243614,0.0232903441445186,0,0.002,0.84,0.868,0.824,0.328,28.7645360433169
"28","random","timeslice","leafn",25,44.697136,-32.4494012541374,0.162620988708198,0,0.564,0.822,0.242,0.864,0.474,10.628967511863,-35.6955401674997,0.824264709168338,0,0.77,0.962,0.278,0.96,0.476,9.971814844915,-27.413963512508,0.0131143021234644,0,0.798,0.842,0.17,0.96,0.574,10.9092987824354
"29","random","timeslice","leafn",21,46.097344,-41.9527490500027,0.188126656622748,0,0.496,0.984,0.42,0.73,0.198,10.6979162504051,-42.72092764537,0.276221958259331,0,0.53,0.94,0.4,0.864,0.196,10.9199589510628,-44.0454852642757,0.535651385117921,0,0.596,0.978,0.386,0.852,0.242,11.0231074891774
"30","random","timeslice","leafn",78,62.305393,-81.8423719529958,0.000895585196321056,0,0.05,0.324,0.348,0.934,0.322,33.9387524051743,-94.7496986464387,0.568718408361832,0,0.002,0.098,0.622,0.956,0.15,45.0667101403747,-94.1922927912789,0.430386006441847,0,0.044,0.358,0.338,0.952,0.334,34.8765179251399
"31","random","timeslice","leafn",26,60.184154,-48.2674672563179,0.319447726405839,0,0.002,0.84,0.266,0.73,0.958,26.3226174104802,-48.4395301052046,0.348147093956513,0,0,0.866,0.354,0.854,0.974,28.1596877116246,-48.3469892475087,0.332405179637649,0,0.002,0.772,0.212,0.982,0.958,27.4586145152127
"32","random","timeslice","leafn",64,64.626816,-99.5142407551558,0.173416487546501,0,0.068,0.13,0.954,0.096,0.216,31.5904740050601,-65.6190830108844,7.56572235811847e-09,0,0,0.008,0.722,0.44,0.018,48.6069260920082,-102.637450360732,0.826583504887776,0,0.154,0.292,0.95,0.406,0.476,29.7101218431931
"33","random","timeslice","leafn",21,61.000234,-17.8170394660025,0.0196345946619423,0,0.986,0.796,0.174,0.796,0.726,8.21057817843508,-25.6360057290754,0.97923942724949,0,0.904,0.954,0.19,0.946,0.754,7.89054048026683,-12.099757517661,0.00112597808856751,0,0.942,0.836,0.11,0.716,0.732,9.73631875770553
"34","random","timeslice","leafn",43,65.093443,-53.5714165869483,0.0263885316738104,0,0.092,0.416,0.402,0.978,0.914,22.4825347784521,-58.4540880521941,0.303161371242625,0,0.08,0.336,0.386,0.458,0.944,21.6609122018041,-60.0414561150558,0.670450097083565,0,0.114,0.34,0.324,0.784,0.962,18.8423366333055
"35","random","timeslice","leafn",53,45.743702,-4.64144533982305,1.88076839871428e-06,0,0.57,0.818,0.982,0.726,0.46,16.9397815979369,-31.0091005956046,0.999997485987484,0,0.438,0.286,0.918,0.752,0.21,17.4125517025618,-2.46428594751626,6.33244117137864e-07,0,0.568,0.886,0.944,0.668,0.442,15.2060208080549
"36","random","timeslice","leafn",34,58.804913,-14.2434105492991,0.00374317609229284,0,0.596,0.892,0.274,0.67,0.25,11.5152256960424,-25.4068986090186,0.993941650714322,0,0.722,0.65,0.514,0.896,0.036,13.181488703707,-13.2825105987349,0.0023151731933851,0,0.572,1,0.226,0.538,0.238,12.8767730678982
"37","random","timeslice","leafn",61,56.240539,-47.7813374159783,5.32746840062837e-05,0,0.066,0.968,0.162,0.984,0.578,24.5122386731927,-67.4602250330243,0.999394680436025,0,0.088,0.678,0.302,0.356,0.428,24.9601178179633,-52.4576736173107,0.000552044879968949,0,0.056,0.888,0.12,0.884,0.592,25.2596859107596
"38","random","timeslice","leafn",28,14.197002,28.8513426080782,6.93169136345349e-07,0,0,0.822,0.028,0.416,0.112,43.4169943519164,0.487360596453406,0.999999202267835,0,0,0.666,0.012,0.046,0.132,62.2652890938121,32.6343106023691,1.04563028827124e-07,0,0,0.664,0.014,0.668,0.108,45.5798037557044
"39","random","timeslice","leafn",43,4.537493,-42.6184444595069,0.0739533459829527,0,0.374,0.75,0.79,0.756,0.918,15.5082860139152,-47.6070546908386,0.895820045167967,0,0.368,0.608,0.802,0.664,0.592,15.7033526679368,-40.8290208384623,0.0302266088490804,0,0.34,0.696,0.73,0.972,0.886,15.6101222693168
"40","Clusiaceae","family","seedmass",55,68.74675,106.913753051622,0.0132432012824933,0.242,0,0.142,0.22,0.002,0.132,46.7900052619646,142.172357728181,2.92202720201972e-10,0.614,0,0.24,0.268,0.008,0.034,179.252239206429,98.2918744631365,0.986756798425304,0.026,0.018,0.404,0.126,0.29,0.264,20.9402016417796
"41","Salicaceae","family","seedmass",52,78.474372,100.441056638631,0.409749160113466,0.102,0.012,0.848,0.564,0.554,0.886,13.3699331808478,141.641574407611,4.63382163301804e-10,0.578,0,0.006,0.734,0.108,0.134,97.4361219746631,99.7110517781412,0.590250839423152,0.076,0.008,0.72,0.564,0.856,0.902,13.1883848587028
"42","Fagaceae","family","seedmass",70,40.409993,84.3969818719619,0.0108349166255359,0,0.976,0.178,0.026,0.28,0.814,20.7926925472381,75.3851308777057,0.981124572935315,0.004,0.198,0.076,0.4,0.734,0.962,16.8231258424261,84.9935446147743,0.00804051043914883,0,0.944,0.14,0.014,0.238,0.926,24.3914662020216
"43","Betulaceae","family","seedmass",50,27.279622,77.820336691502,0.542520163958515,0.06,0,0.36,0.618,0.344,0.544,32.1757720191713,94.8815137693898,0.000107060274971544,0.362,0,0,0.628,0.274,0.196,96.8347478382035,78.1617896775514,0.457372775766514,0.014,0,0.738,0.622,0.636,0.47,24.4995146353905
"44","Rhamnaceae","family","seedmass",80,76.179947,135.443684705073,0.679677056015741,0.008,0.006,0.652,0.018,0.288,0.018,29.665533527253,153.875958934334,6.75748540331873e-05,0.178,0,0.004,0.204,0.07,0,99.7365053348162,136.948682828407,0.320255369130226,0.002,0.008,0.762,0.014,0.582,0.012,31.7272745706934
"45","Moraceae","family","seedmass",72,54.796727,185.871405186896,0.734984160607981,0.102,0,0.984,0.224,0.668,0.05,37.2445587203685,198.866037389,0.00110797369573884,0.464,0,0.026,0.264,0.038,0.004,79.6413347744572,187.919902987153,0.26390786569628,0.076,0,0.884,0.244,0.95,0.066,41.9987815398189
"46","Rosaceae","family","seedmass",302,82.294047,553.451811487435,1.96060429477483e-06,0,0,0.002,0,0.014,0.102,119.678161883679,527.167301069045,0.999997390618194,0,0,0,0.012,0.982,0.046,133.372305288272,555.663647843871,6.48777511260399e-07,0,0,0.002,0,0.026,0.098,122.309842507783
"47","Fabaceae","family","seedmass",1284,69.142529,2144.45220016209,4.13169337152201e-23,0,0,0,0,0.018,0,547.492898412244,2041.37066056487,1,0,0,0,0,0.038,0,564.606840134898,2146.64212208865,1.38226903473179e-23,0,0,0,0,0.008,0,544.5053833021
"48","Polygonaceae","family","seedmass",81,54.014407,106.484511747257,0.079116503696055,0.008,0.54,0.528,0.594,0.236,0.522,10.0505036583931,125.423977008492,6.10399908947946e-06,0.058,0.004,0.22,0.266,0.014,0.196,33.3681285996709,101.575700934436,0.920877392304856,0,0.612,0.986,0.84,0.844,0.646,11.4166486420372
"49","Aizoaceae","family","seedmass",72,42.783636,275.780147797843,8.58609555658669e-12,0.214,0,0,0.152,0.002,0.16,66.0192269378813,224.818393764187,0.999999999988689,0.68,0,0.188,0.772,0.568,0.476,20.9676791670496,278.07594249074,2.72439600127988e-12,0.204,0,0,0.13,0.004,0.13,67.8684433747533
"50","Caryophyllaceae","family","seedmass",132,50.604913,213.177333922106,3.04428283266235e-05,0,0.068,0.28,0.102,0.232,0.584,24.0894685328001,192.378102391861,0.999955651622712,0.002,0.016,0.156,0.664,0.066,0.23,24.8638032882883,214.744458876481,1.3905548960874e-05,0,0.072,0.2,0.098,0.142,0.548,24.7898805719863
"51","Amaranthaceae","family","seedmass",170,38.449259,389.237842272744,6.48972509005348e-17,0,0.006,0.054,0,0.014,0.166,62.3187236525306,314.690389452573,1,0.006,0.004,0.002,0.458,0.948,0.022,36.3483337595515,391.648476857894,1.94430167816205e-17,0,0.008,0.038,0,0.006,0.152,63.04850027233
"52","Cornaceae","family","seedmass",21,65.418613,9.08448621213695,0.470233837475015,0.044,0.106,0.472,0.116,0.062,0.802,16.0383572070247,17.1077630691333,0.00851297669247071,0.066,0.012,0.31,0.166,0.174,0.33,NA,8.87847463717328,0.521253185832514,0.008,0.342,0.842,0.03,0.928,0.57,14.3137727518179
"53","Loasaceae","family","seedmass",27,64.963493,51.6610965912099,0.375158882884622,0.206,0.976,0.778,0.206,0.57,0.03,8.99549052504417,55.8455562293745,0.0462989741773582,0.444,0.12,0.122,0.442,0.142,0.84,8.38592900090797,50.7947730538347,0.57854214293802,0.124,0.798,0.764,0.334,0.828,0.05,8.01648154758916
"54","Primulaceae","family","seedmass",73,54.039848,110.626365983025,0.00352565288034355,0.064,0,0.062,0.02,0.006,0.02,59.5708032146325,140.799718922971,9.88961102155384e-10,0.3,0,0.222,0.048,0,0.004,127.812484499629,99.3380504591205,0.996474346130695,0.006,0.004,0.644,0.002,0.968,0.046,38.6638974313781
"55","Aquifoliaceae","family","seedmass",22,65.83304,40.4203480859384,0.00400104913278871,0.134,0.252,0.228,0.094,0.292,0.556,8.4805037762184,29.3920439738932,0.992978156131209,0.2,0.974,0.358,0.582,0.744,0.514,3.74680753577917,40.982421397025,0.00302079473600236,0.118,0.162,0.202,0.032,0.27,0.642,12.4746769781633
"56","Adoxaceae","family","seedmass",29,75.385129,33.8242316590169,0.196629944765275,0.024,0.16,0.242,0.288,0.788,0.536,9.39972577114219,47.989298634529,0.000165099001076129,0.296,0,0,0.39,0.68,0.544,36.396616803533,31.0096588384899,0.803204956233649,0.016,0.162,0.286,0.162,0.808,0.694,10.7638381619716
"57","Caprifoliaceae","family","seedmass",66,65.603127,135.957420244278,0.000556904158832416,0.004,0,0.312,0.2,0.488,0.206,40.1027351219097,120.972684207833,0.999250899368585,0.136,0,0,0.69,0.844,0.336,45.0080586619866,138.085170274023,0.000192196472582921,0.002,0,0.25,0.172,0.388,0.24,41.0193678289079
"58","Araliaceae","family","seedmass",46,65.500476,69.2050213215146,0.679471551398595,0.064,0.81,0.828,0.11,0.486,0.534,7.98461033564781,75.667255615527,0.0268481849420285,0.152,0.064,0.036,0.362,0.406,0.914,13.4101196243774,70.882668779086,0.293680263659377,0.026,0.834,0.996,0.068,0.642,0.348,10.5780230324696
"59","Pittosporaceae","family","seedmass",21,56.777854,9.86599931677041,0.712282315351214,0.048,0.616,0.284,0.94,0.094,0,23.0553095231885,27.2734113287761,0.000118217200669886,0.196,0.02,0.008,0.996,0.22,0,NA,11.6798104547952,0.287599467448116,0.01,0.894,0.686,0.894,0.948,0,20.1168581841971
"60","Apiaceae","family","seedmass",210,71.448106,193.601773301614,0.00102241484911756,0,0.844,0.292,0.282,0.558,0.276,35.4777380153315,179.833626988307,0.99848635271301,0,0.27,0.04,0.594,0.026,0.33,39.9369392051894,195.067783690885,0.000491232437872583,0,0.796,0.218,0.248,0.388,0.324,35.8595471483015
"61","Boraginaceae","family","seedmass",150,55.795213,232.253466604449,0.738707806151284,0,0.086,0.382,0.94,0.912,0.492,18.6084173088146,242.176337900217,0.00517307248971175,0.008,0,0.124,0.56,0.038,0.224,52.6872511366912,234.371986200119,0.256119121359004,0,0.08,0.336,0.864,0.714,0.468,19.5130602102074
"62","Apocynaceae","family","seedmass",108,37.60825,189.187784034171,0.000321107525501321,0.002,0.002,0.104,0.028,0.236,0.278,36.779427345169,173.101193374109,0.999560905945404,0.038,0,0.308,0.882,0.026,0.322,40.5960452115878,191.190195193608,0.000117986529094191,0,0,0.1,0.028,0.192,0.322,36.0706271981609
"63","Solanaceae","family","seedmass",178,47.027647,296.696115364163,9.59748687470428e-08,0,0,0.016,0,0.05,0.03,131.176914180192,264.377756691348,0.999999872772783,0,0,0.046,0.016,0.496,0.004,133.171603961407,298.940099110901,3.1252347705685e-08,0,0,0.018,0,0.048,0.02,136.395992149318
"64","Acanthaceae","family","seedmass",26,36.720995,56.6118655928403,0.251897826435267,0.436,0.782,0.082,0.4,0.024,0.132,13.1188138567515,76.0446860871914,1.51859185372898e-05,0.802,0.002,0.006,0.49,0.038,0.672,29.4273588184473,54.434874172406,0.748086987646196,0.216,0.398,0.538,0.38,0.538,0.232,9.3933404685924
"65","Phrymaceae","family","seedmass",24,27.406262,31.1752317446186,0.214862013982392,0.028,0.51,0.36,0.47,0.764,0.34,5.86001550047561,29.2911443586888,0.551168031284941,0.148,0.17,0.044,0.656,0.908,0.612,10.5067730967861,31.0048383808636,0.233969954732667,0.024,0.302,0.418,0.324,0.704,0.436,7.09864398524567
"66","Verbenaceae","family","seedmass",28,28.391033,69.6862285466209,0.563643534477214,0.158,0.008,0.322,0.206,0.63,0.634,15.8675778788777,71.7715136854033,0.198696682068433,0.652,0.004,0.012,0.284,0.408,0.408,22.9052520661353,71.4133922484395,0.237659783454353,0.15,0.004,0.282,0.258,0.476,0.584,16.7725279274806
"67","Bignoniaceae","family","seedmass",37,24.827548,89.4704552608829,0.000622937508681728,0.194,0,0.206,0.454,0.146,0.006,23.6734742428655,74.7102643504703,0.999031573134757,0.346,0.008,0.768,0.61,0.802,0.028,17.4772912601021,90.6494240005493,0.000345489356560865,0.182,0,0.152,0.476,0.112,0.014,24.6892584999055
"68","Scrophulariaceae","family","seedmass",60,37.457895,113.332094600629,0.313322249877884,0.108,0.02,0.058,0.012,0.1,0.458,23.2666991278697,136.175071013384,3.43322236731083e-06,0.414,0,0.818,0.026,0.002,0.128,58.818243760384,111.76283879877,0.686674316899749,0.058,0.028,0.582,0.006,0.79,0.338,23.9152059894583
"69","Austrobaileyales","order","seedmass",20,179.240928,30.2160383672936,0.264125740935186,0.102,0.026,0.436,0.208,0.332,0.888,12.8450056838645,33.2514085770735,0.0579013196549232,0.334,0.002,0.348,0.228,0.214,0.452,15.1820865918266,28.3306741801089,0.677972939409891,0.07,0.01,0.742,0.412,0.636,0.828,16.7143962377878
"70","Alismatales","order","seedmass",56,145.130377,114.315861663448,0.329284269828359,0.044,0.036,0.72,0.206,0.966,0.894,11.650278349424,139.684380797015,1.02062698734607e-06,0.464,0,0.014,0.458,0.19,0.106,72.7012938711445,112.893016753911,0.670714709544654,0.026,0.026,0.92,0.138,0.698,0.85,13.6131308660422
"71","Asparagales","order","seedmass",362,124.910686,569.59013208594,0.759063894083296,0,0,0.14,0.652,0.816,0.122,123.404028430919,582.390267297713,0.00126114287045404,0,0,0.042,0.964,0.252,0.016,217.563573270615,571.895736627941,0.23967496304625,0,0,0.12,0.626,0.632,0.12,113.32052498753
"72","Commelinales","order","seedmass",23,100.894026,25.8687528180685,0.169047896215008,0.208,0.01,0.578,0.926,0.024,0.032,30.8265853526104,50.8153133126959,6.47042768421551e-07,0.544,0,0.002,0.884,0.682,0.036,63.7948554124979,22.6839742313683,0.830951456742223,0.036,0.07,0.83,0.898,0.72,0.038,19.1163744682432
"73","Arecales","order","seedmass",64,114.999065,279.821081241275,3.72914111426844e-19,0.27,0,0,0,0.002,0.09,147.067280259542,194.95520359324,1,0.788,0,0,0.01,0.016,0.254,54.9212388839952,282.25033533523,1.10688625292143e-19,0.25,0,0,0,0,0.082,176.163704475175
"74","Poales","order","seedmass",1199,90.169528,2064.05605735965,9.88060103182921e-35,0,0,0,0.002,0,0,394.949743406707,1907.45624753625,1,0,0,0,0.238,0.446,0,374.212801581337,2066.21181877233,3.36252653635527e-35,0,0,0,0.004,0,0,344.682753238394
"75","Piperales","order","seedmass",33,122.157858,90.3713457367226,0.0647194655139462,0.276,0.438,0.078,0.832,0.154,0.024,10.6917717304735,85.1662327904051,0.873596402913161,0.612,0.384,0.01,0.816,0.32,0.342,12.7869465965305,90.4674163432644,0.0616841315728924,0.256,0.266,0.044,0.698,0.082,0.048,11.5649992773399
"76","Laurales","order","seedmass",67,108.800416,205.861575115195,8.52436291624995e-05,0.13,0,0.036,0.014,0.126,0.368,40.1544505020037,187.121806881972,0.999886947177553,0.452,0,0,0.194,0.236,0.12,71.7193019184243,208.101868560062,2.78091932842066e-05,0.144,0,0.032,0.002,0.092,0.32,40.7685271589223
"77","Magnoliales","order","seedmass",71,95.495017,136.158642047353,0.56701038035884,0,0.346,0.556,0.778,0.708,0.734,10.6328190649919,138.190864560154,0.205257718846093,0.208,0,0.02,0.892,0.582,0.294,40.3103857141161,137.983059142762,0.227731900795066,0.006,0.346,0.422,0.664,0.64,0.666,9.63303673926626
"78","Ranunculales","order","seedmass",216,133.019918,284.586423683604,0.734791277793789,0,0.03,0.582,0.006,0.366,0.312,46.5682359466427,298.200311468642,0.000812729121023407,0,0,0.046,0.018,0.002,0.152,88.4385728143628,286.630700743557,0.264395993085188,0,0.018,0.49,0.004,0.526,0.294,47.1909406892011
"79","Saxifragales","order","seedmass",157,108.091551,210.89792034862,0.342646095493893,0,0.028,0.882,0.788,0.014,0.924,38.1576096599453,242.723728137025,4.20687332534732e-08,0.008,0,0.096,0.928,0.002,0.138,100.375474805175,209.594871640709,0.657353862437373,0,0.292,0.954,0.5,0.254,0.64,30.0065097083371
"80","Geraniales","order","seedmass",53,109.434275,67.519588742233,0.0489074173199927,0.004,0.128,0.498,0.204,0.702,0.992,10.3190386621882,76.1887185559057,0.00064105768210756,0.056,0.002,0.298,0.818,0.666,0.192,22.2650429155126,61.5855725567564,0.9504515249979,0.002,0.298,0.964,0.158,0.862,0.9,10.1703758106962
"81","Myrtales","order","seedmass",499,88.200515,1380.04029224549,2.88094271655153e-18,0,0,0,0,0,0.002,248.777783577405,1299.26346404314,1,0,0,0,0,0.492,0.01,204.570507233594,1382.1965201818,9.80202206502913e-19,0,0,0,0,0,0.002,264.81353102587
"82","Brassicales","order","seedmass",299,77.696061,746.735018482127,5.91133460331421e-17,0,0,0,0.002,0,0.026,165.559903411555,672.000868574585,1,0.002,0,0,0.186,0.312,0.006,181.365807369353,748.969506370177,1.93407211260786e-17,0,0,0,0.002,0,0.022,163.000714771167
