"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","sigsq.est","var.contrast","cor.constrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1","Juncaceae","family","sla",29,32.55784,"0.559007022071683","0.235346087286074","0.205646890642242","BM","8.06794485709014","0.001998001998002","0.013986013986014","0.423576423576424","0.227772227772228","0.791208791208791","0.565434565434565"
"2","Salicaceae","family","sla",37,78.474374,"0.576116884765825","0.211941557617088","0.211941557617087","BM",NA,"0","0","0.975024975024975","0.361638361638362","0","0.889110889110889"
"3","Fagaceae","family","sla",47,40.409995,"0.345656090566026","0.527184350985198","0.127159558448776","OU","16.2003728436509","0","0","0.585414585414585","0.583416583416583","0.659340659340659","0.681318681318681"
"4","Betulaceae","family","sla",27,27.279623,"0.542855992376962","0.229336186159516","0.227807821463522","BM",NA,"0","0","0.763236763236763","0.795204795204795","0","0.967032967032967"
"5","Rosaceae","family","sla",96,82.294052,"0.181493362313337","0.751740123849018","0.0667665138376451","OU","33.4679190982043","0","0","0.797202797202797","0.017982017982018","0.973026973026973","0.277722277722278"
"6","Fabaceae","family","sla",128,69.142534,"0.37159296811185","0.491706716639293","0.136700315248857","OU","46.1739160460974","0","0","0.0639360639360639","0.137862137862138","0.135864135864136","0.277722277722278"
"7","Amaranthaceae","family","sla",33,38.449258,"0.000124231407882999","0.9998300666964","4.57018957172382e-05","OU","19.1650499139713","0","0.033966033966034","0.45954045954046","0.00999000999000999","0.505494505494505","0.0799200799200799"
"8","Primulaceae","family","sla",27,54.03985,"0.549575114052725","0.248248162352506","0.202176723594769","BM","10.024098742255","0.001998001998002","0.023976023976024","0.483516483516484","0.437562437562438","0.933066933066933","0.02997002997003"
"9","Asteraceae","family","sla",198,45.743704,"6.32254409014109e-15","0.999999999999991","2.32588887648853e-15","OU","64.9767306570658","0","0","0.01998001998002","0","0.26973026973027","0.40959040959041"
"10","Boraginaceae","family","sla",27,55.795211,"0.55131681309701","0.245865347442191","0.202817839460799","BM","15.6170163352147","0.001998001998002","0.015984015984016","0.569430569430569","0.01998001998002","0.373626373626374","0.545454545454545"
