"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","reml.sigsq","var.con","slope.con.var","slope.con.asr","slope.con.nh","ks.dstat"
"1","Pinales","order","sla",28,237.57462,"0.473364124428169","0.352499569615981","0.17413630595585","BM","7.11191515725997","0.003996003996004","0.00799200799200799","0.891108891108891","0.639360639360639","0.859140859140859","0.357642357642358"
"2","Alismatales","order","sla",46,145.130378,"0.540339351765957","0.260881922640275","0.198778725593767","BM","12.3780857814143","0.00599400599400599","0","0.387612387612388","0.187812187812188","0.943056943056943","0.0559440559440559"
"3","Poales","order","sla",283,90.16953,"2.0030202383561e-07","0.999999726012637","7.36853395416682e-08","OU","133.133514576531","0","0","0.521478521478521","0","0.021978021978022","0.425574425574426"
"4","Saxifragales","order","sla",32,108.091552,"0.446419324816078","0.389353984114007","0.164226691069916","BM","14.2143971069503","0","0","0.425574425574426","0.021978021978022","0.433566433566434","0.789210789210789"
"5","Myrtales","order","sla",64,88.200517,"0.570968169756475","0.218984788801435","0.21004704144209","BM","7.93626180282281","0.033966033966034","0.201798201798202","0.175824175824176","0.44955044955045","0.669330669330669","0.501498501498502"
"6","Malvales","order","sla",38,80.999562,"0.116178461182916","0.841082265646565","0.0427392731705195","OU","8.74403550529529","0.001998001998002","0.00599400599400599","0.427572427572428","0.693306693306693","0.363636363636364","0.20979020979021"
"7","Malpighiales","order","sla",103,105.848043,"0.451860555005365","0.166226599358362","0.381912845636273","BM","23.2243415572544","0","0","0.335664335664336","0.417582417582418","0.371628371628372","0.463536463536464"
"8","Fagales","order","sla",93,82.105497,"0.521904781524723","0.28609769462632","0.191997523848958","BM","29.3165209272466","0","0","0.913086913086913","0.609390609390609","0.853146853146853","0.323676323676324"
"9","Rosales","order","sla",144,89.277087,"0.169236181115346","0.768506361299972","0.0622574575846822","OU","56.7305665607033","0","0","0.709290709290709","0","0.345654345654346","0.515484515484515"
"10","Fabales","order","sla",134,72.048797,"0.406212920734297","0.444350824211587","0.149436255054116","OU","41.3590501528487","0","0","0.025974025974026","0.035964035964036","0.163836163836164","0.03996003996004"
"11","Caryophyllales","order","sla",131,89.46094,"0.00494663309511457","0.993233627857564","0.00181973904732178","OU","38.6108503877113","0","0","0.307692307692308","0.023976023976024","0.797202797202797","0.985014985014985"
"12","Ericales","order","sla",97,92.447881,"0.377252171045729","0.48396624003476","0.138781588919511","OU","23.3626143521969","0.001998001998002","0.025974025974026","0.783216783216783","0.00599400599400599","0.0659340659340659","0.185814185814186"
"13","Dipsacales","order","sla",36,91.355929,"0.476851388302718","0.347726021834347","0.175422589862935","BM","9.78997054437928","0","0.021978021978022","0.783216783216783","0.523476523476524","0.765234765234765","0.261738261738262"
"14","Asterales","order","sla",216,83.663674,"1.773402543713e-16","1","6.52379737514427e-17","OU","67.1102847801489","0","0","0.325674325674326","0","0.937062937062937","0.317682317682318"
"15","Gentianales","order","sla",65,58.804914,"0.358964674306166","0.508980140150337","0.132055185543497","OU","14.6682069809592","0","0","0.197802197802198","0.925074925074925","0.839160839160839","0.757242757242757"
