"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","sigsq.est","var.contrast","cor.constrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1",NA,NA,"sla",2194,217.63263,"3.57131697156168e-31","1","1.31326131703373e-31","OU","603.948471920216","0","0","0","0.00799200799200799","0","0.001998001998002"
"2",NA,NA,"sla",2193,190.540566,"1.01097419899353e-30","1","3.71762340227642e-31","OU","661.193808215532","0","0","0","0.00599400599400599","0","0"
"3",NA,NA,"sla",35,96.478688,"0.564842233322859","0.227364349642948","0.207793417034193","BM","13.0952055496503","0","0.001998001998002","0.391608391608392","0.403596403596404","0.281718281718282","0.32967032967033"
"4",NA,NA,"sla",358,137.53398,"6.80089618095584e-16","0.999999999999999","2.5016918829892e-16","OU","123.001173804131","0","0","0.003996003996004","0","0.0559440559440559","0.003996003996004"
"5",NA,NA,"sla",24,137.914324,"0.575917171786047","0.21221486158269","0.211867966631262","BM","11.4045605772029","0","0.001998001998002","0.503496503496504","0.22977022977023","0.187812187812188","0.453546453546454"
"6",NA,NA,"sla",1754,136.90047,"2.25729435742951e-18","1","8.30188219885727e-19","OU","446.70169771939","0","0","0","0.0799200799200799","0","0.015984015984016"
"7",NA,NA,"sla",21,81.543684,"0.576035461239923","0.211911557751476","0.212052981008601","BM","18.4160189502963","0.001998001998002","0.035964035964036","0.317682317682318","0.00999000999000999","0.28971028971029","0.501498501498502"
"8",NA,NA,"sla",26,71.218269,"0.52311053796894","0.284448535881769","0.19244092614929","BM","7.99737853351885","0.001998001998002","0.01998001998002","0.955044955044955","0.251748251748252","0.353646353646354","0.575424575424575"
"9",NA,NA,"sla",22,81.396068,"0.575891220950188","0.212250251392599","0.211858527657212","BM","10.8452460014815","0","0","0.663336663336663","0.765234765234765","0.487512487512487","0.3996003996004"
"10",NA,NA,"sla",283,90.16953,"2.00302023835131e-07","0.999999726012637","7.36853395414884e-08","OU","93.4290537069627","0","0","0.157842157842158","0","0.0699300699300699","0.047952047952048"
"11",NA,NA,"sla",39,87.653725,"0.00249098210527348","0.996592646502864","0.000916371391862131","OU","12.3448906820369","0","0.00599400599400599","0.555444555444555","0.155844155844156","0.711288711288711","0.777222777222777"
"12",NA,NA,"sla",57,81.886175,"0.293872861574916","0.59801797921073","0.108109159214354","OU","18.454462004181","0","0","0.135864135864136","0.613386613386613","0.351648351648352","0.411588411588412"
"13",NA,NA,"sla",64,88.200517,"0.570968169756484","0.218984788801419","0.210047041442097","BM","19.0119269195909","0","0","0.28971028971029","0.911088911088911","0.163836163836164","0.405594405594406"
"14",NA,NA,"sla",93,77.318936,"0.53476224703569","0.268510421841083","0.196727331123228","BM","31.9728242837226","0","0","0.787212787212787","0.12987012987013","0.193806193806194","0.931068931068931"
