"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","sigsq.est","var.contrast","cor.constrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1","Salicaceae","family","leafN",22,78.474374,"0.575063017423479","0.211553804012816","0.213383178563705","BM","9.6084764725389","0","0","0.899100899100899","0.525474525474525","0.697302697302697","0.345654345654346"
"2","Fagaceae","family","leafN",46,40.409995,"3.73162386510508e-09","0.999839998316732","0.000159997951644282","OU","14.9553805094334","0","0","0.427572427572428","0.929070929070929","0.659340659340659","0.979020979020979"
"3","Betulaceae","family","leafN",21,27.279623,"0.433937180164576","0.159636405166075","0.406426414669349","BM","9.14760044729946","0","0","0.669330669330669","0.445554445554446","0.681318681318681","0.923076923076923"
"4","Rosaceae","family","leafN",49,82.294052,"0.563318011359469","0.229449691926701","0.20723229671383","BM","25.6249218890418","0","0","0.659340659340659","0.00999000999000999","0.589410589410589","0.491508491508492"
"5","Fabaceae","family","leafN",67,69.142534,"0.556585241944707","0.204755462154161","0.238659295901133","BM","26.5143267170976","0","0","0.157842157842158","0.985014985014985","0.125874125874126","0.385614385614386"
"6","Asteraceae","family","leafN",53,45.743704,"5.42122845755245e-06","0.999992584429029","1.99434251345305e-06","OU","15.8179805389945","0","0","0.261738261738262","0.839160839160839","0.767232767232767","0.261738261738262"
