"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","sigsq.est","var.contrast","cor.constrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1","Austrobaileyales","order","seedMass",20,179.240928,"0.508619770411795","0.304270890404863","0.187109339183343","BM","5.69266467403075","0.105894105894106","0.739260739260739","0.355644355644356","0.223776223776224","0.245754245754246","0.933066933066933"
"2","Alismatales","order","seedMass",56,145.130379,"0.336214291878991","0.540101672977178","0.123684035143831","OU","7.78682609981325","0.04995004995005","0.661338661338661","0.33966033966034","0.2997002997003","0.373626373626374","0.927072927072927"
"3","Asparagales","order","seedMass",362,124.91069,"0.293508527701287","0.598520389409933","0.10797108288878","OU","64.7056598701309","0","0.00999000999000999","0.145854145854146","0.817182817182817","0.751248751248751","0.107892107892108"
"4","Commelinales","order","seedMass",23,100.894028,"0.212729363901749","0.0782568592222936","0.709013776875958","EB","12.6074097659068","0.0579420579420579","0.46953046953047","0.367632367632368","0.979020979020979","0.157842157842158","0.03996003996004"
"5","Arecales","order","seedMass",64,114.999068,"3.41684004727425e-20","1","1.25692614572521e-20","OU","35.5909083508957","0.643356643356643","0.151848151848152","0","0.021978021978022","0.153846153846154","0.26973026973027"
"6","Poales","order","seedMass",1199,90.16953,"5.79755603923573e-35","1","2.13261366406249e-35","OU","205.169381518536","0","0","0","0.185814185814186","0.675324675324675","0.001998001998002"
"7","Piperales","order","seedMass",33,122.157859,"0.021382797987026","0.970751037550066","0.0078661644629083","OU","6.0644603299593","0.533466533466533","0.703296703296703","0.0919080919080919","0.923076923076923","0.625374625374625","0.367632367632368"
"8","Laurales","order","seedMass",67,108.800419,"3.82436549683592e-05","0.999947687684888","1.40686601440519e-05","OU","47.1020707499354","0.549450549450549","0.033966033966034","0","0.247752247752248","0.593406593406593","0.147852147852148"
"9","Magnoliales","order","seedMass",71,95.495019,"0.0450692037952662","0.938351048880308","0.0165797473244261","OU","11.4413433541985","0.021978021978022","0.607392607392607","0.237762237762238","0.951048951048951","0.869130869130869","0.173826173826174"
"10","Ranunculales","order","seedMass",216,133.019919,"0.272844977606742","0.626784323397548","0.10037069899571","OU","44.1065219053055","0","0","0.555444555444555","0.011988011988012","0.051948051948052","0.321678321678322"
"11","Saxifragales","order","seedMass",157,108.091553,"0.415081008649846","0.15269215944356","0.432226831906594","EB","27.1543652962739","0","0","0.767232767232767","0.601398601398601","0.0679320679320679","0.523476523476524"
"12","Geraniales","order","seedMass",53,109.434276,"0.527403556280055","0.278576457622592","0.194019986097353","BM","8.09615129679304","0","0.103896103896104","0.45954045954046","0.22977022977023","0.665334665334665","0.901098901098901"
"13","Myrtales","order","seedMass",499,88.200518,"9.3190025892109e-19","1","3.42796117854053e-19","OU","120.736261996227","0","0.841158841158841","0","0","0.203796203796204","0.003996003996004"
"14","Brassicales","order","seedMass",299,77.696062,"2.48713268979752e-17","1","9.1491060503547e-18","OU","77.9146825104042","0.001998001998002","0.529470529470529","0","0.157842157842158","0.111888111888112","0.015984015984016"
"15","Malvales","order","seedMass",267,80.999563,"0.00185313327589539","0.997465159296","0.000681707428104129","OU","42.2743466799222","0","0.16983016983017","0.695304695304695","0","0.0919080919080919","0.31968031968032"
"16","Sapindales","order","seedMass",371,73.834063,"0.000234673606989485","0.999678998196362","8.6328196648751e-05","OU","63.7572328964218","0","0.031968031968032","0.257742257742258","0","0.001998001998002","0.051948051948052"
"17","Zygophyllales","order","seedMass",33,83.605801,"0.384398254906925","0.47419066372325","0.141411081369825","OU","4.35172905170162","0.197802197802198","0.441558441558442","0.993006993006993","0.457542457542458","0.303696303696304","0.44955044955045"
"18","Malpighiales","order","seedMass",378,105.848044,"0.247235399248068","0.661815494990774","0.0909491057611584","OU","76.0046660977848","0","0.933066933066933","0.933066933066933","0.001998001998002","0.01998001998002","0.023976023976024"
"19","Cucurbitales","order","seedMass",90,73.384895,"0.533442871346467","0.270315275395018","0.196241853258515","BM","14.2323171569698","0.001998001998002","0.15984015984016","0.233766233766234","0.0619380619380619","0.343656343656344","0.997002997002997"
"20","Fagales","order","seedMass",207,82.105497,"0.369510664604968","0.494555384985063","0.13593395040997","OU","46.0457009247574","0","0.017982017982018","0.601398601398601","0.273726273726274","0.0999000999000999","0.0739260739260739"
"21","Rosales","order","seedMass",505,89.277087,"1.26093596453711e-06","0.999998275230886","4.63833149348836e-07","OU","149.153550868978","0","0.105894105894106","0.00799200799200799","0","0.25974025974026","0"
"22","Fabales","order","seedMass",1310,72.048799,"7.21437945313595e-24","1","2.65366708070549e-24","OU","310.012324064734","0","0","0.001998001998002","0","0.023976023976024","0"
"23","Santalales","order","seedMass",33,64.840478,"0.123217127905717","0.831454223794205","0.0453286483000784","OU","5.26980633278363","0.415584415584416","0.265734265734266","0.879120879120879","0.277722277722278","0.36963036963037","0.25974025974026"
"24","Caryophyllales","order","seedMass",588,89.460941,"1.53684688318743e-21","1","5.65315065951755e-22","OU","118.946995664221","0","0.623376623376623","0.00599400599400599","0.031968031968032","0.30969030969031","0.00599400599400599"
"25","Cornales","order","seedMass",64,97.740469,"0.493915776675466","0.181697486352168","0.324386736972366","BM","15.6597340150341","0.051948051948052","0.689310689310689","0.051948051948052","0.18981018981019","0.00999000999000999","0.561438561438561"
"26","Ericales","order","seedMass",459,92.447882,"0.00262466628444677","0.996409830368453","0.000965503347100147","OU","96.077944381668","0","0.135864135864136","0.00599400599400599","0.53946053946054","0.245754245754246","0.001998001998002"
"27","Dipsacales","order","seedMass",95,91.35593,"0.00669126561042916","0.990847216752794","0.00246151763677737","OU","29.0899114504755","0","0.677322677322677","0.013986013986014","0.437562437562438","0.561438561438561","0.125874125874126"
"28","Asterales","order","seedMass",1156,83.663675,"4.06672408651642e-44","1","1.49590241626164e-44","OU","234.689935452252","0","0.001998001998002","0","0.477522477522478","0.423576423576424","0"
"29","Gentianales","order","seedMass",401,58.804915,"2.19116369422878e-07","0.999999700278529","8.06051016466763e-08","OU","60.9346857317701","0","0.255744255744256","0.321678321678322","0.871128871128871","0.121878121878122","0.011988011988012"
"30","Solanales","order","seedMass",263,66.196125,"4.19421667151821e-13","0.999999999999426","1.54291340183648e-13","OU","92.2670920042384","0","0.869130869130869","0","0.32967032967033","0.741258741258741","0"
"31","Lamiales","order","seedMass",803,61.394512,"0.0446100375698785","0.938979305472346","0.0164106569577756","OU","115.453937532843","0","0","0.443556443556444","0.107892107892108","0.001998001998002","0.0819180819180819"
